entity_id,label
0,Protein_AASDHPPT
1,Protein_ABAT
2,Protein_ABCA7
3,Protein_ABCD1
4,Protein_ABCF1
5,Protein_ABHD17B
6,Protein_ABITRAM
7,Protein_ABRACL
8,Protein_ACAD8
9,Protein_ACADVL
10,Protein_ACAP2
11,Protein_ACBD5
12,Protein_ACIN1
13,Protein_ACKR3
14,Protein_ACOX1
15,Protein_ACSL1
16,Protein_ACSS1
17,Protein_ACTB
18,Protein_ACTG1
19,Protein_ACTN4
20,Protein_ACTR3
21,Protein_ACVR1
22,Protein_ADAM10
23,Protein_ADAMTSL4
24,Protein_ADAR
25,Protein_ADD3
26,Protein_ADI1
27,Protein_ADIPOR2
28,Protein_ADNP
29,Protein_ADORA2A
30,Protein_ADRM1
31,Protein_AEBP2
32,Protein_AFTPH
33,Protein_AGGF1
34,Protein_AGPAT1
35,Protein_AGPAT2
36,Protein_AGTRAP
37,Protein_AK2
38,Protein_AKAP11
39,Protein_AKAP13
40,Protein_AKAP7
41,Protein_AKAP8L
42,Protein_AKIRIN1
43,Protein_AKR1A1
44,Protein_AMD1
45,Protein_AMDHD2
46,Protein_AMY1A
47,Protein_ANKFY1
48,Protein_ANKRA2
49,Protein_ANKRD10
50,Protein_ANKRD12
51,Protein_ANKRD36C
52,Protein_ANKZF1
53,Protein_ANO2
54,Protein_ANP32A
55,Protein_ANXA4
56,Protein_AOC1
57,Protein_AP1S1
58,Protein_AP2A2
59,Protein_AP3B1
60,Protein_AP5M1
61,Protein_APBB3
62,Protein_APEH
63,Protein_APH1A
64,Protein_APOBEC3F
65,Protein_ARFGEF1
66,Protein_ARFIP1
67,Protein_ARHGAP12
68,Protein_ARHGAP18
69,Protein_ARHGAP30
70,Protein_ARHGEF1
71,Protein_ARID4A
72,Protein_ARID4B
73,Protein_ARL4A
74,Protein_ARL6IP4
75,Protein_ARL6IP5
76,Protein_ARL6IP6
77,Protein_ARMC7
78,Protein_ARMH1
79,Protein_ARMH3
80,Protein_ARMT1
81,Protein_ARPC5
82,Protein_ARPP19
83,Protein_ARRDC2
84,Protein_ARRDC3
85,Protein_ASAP1
86,Protein_ASB6
87,Protein_ASB8
88,Protein_ASH2L
89,Protein_ASTE1
90,Protein_ATF1
91,Protein_ATG101
92,Protein_ATG3
93,Protein_ATG4B
94,Protein_ATG5
95,Protein_ATG9A
96,Protein_ATMIN
97,Protein_ATN1
98,Protein_ATOSA
99,Protein_ATP11B
100,Protein_ATP1A1
101,Protein_ATP2A2
102,Protein_ATP2B1
103,Protein_ATP5F1D
104,Protein_ATP5ME
105,Protein_ATP6AP2
106,Protein_ATP6V1F
107,Protein_ATPAF1
108,Protein_ATXN1
109,Protein_ATXN7L3
110,Protein_AUH
111,Protein_AUNIP
112,Protein_AURKB
113,Protein_AVP
114,Protein_AZIN1
115,Protein_B2M
116,Protein_B3GALT6
117,Protein_BACH1
118,Protein_BAG4
119,Protein_BAG5
120,Protein_BARD1
121,Protein_BAX
122,Protein_BAZ1B
123,Protein_BCAS2
124,Protein_BCL11A
125,Protein_BCL7C
126,Protein_BCLAF1
127,Protein_BCR
128,Protein_BECN1
129,Protein_BEGAIN
130,Protein_BFAR
131,Protein_BID
132,Protein_BIN2
133,Protein_BLOC1S1
134,Protein_BLOC1S6
135,Protein_BOLA2B
136,Protein_BORCS6
137,Protein_BORCS7
138,Protein_BRI3BP
139,Protein_BRSK1
140,Protein_BSDC1
141,Protein_BTBD10
142,Protein_BTF3L4
143,Protein_BTG1
144,Protein_BTLA
145,Protein_BUD31
146,Protein_C18orf32
147,Protein_C19orf25
148,Protein_C1GALT1
149,Protein_C21orf91
150,Protein_C2orf68
151,Protein_C2orf69
152,Protein_C6orf62
153,Protein_C8orf82
154,Protein_CA11
155,Protein_CALM3
156,Protein_CALR
157,Protein_CAMLG
158,Protein_CAND2
159,Protein_CAPN15
160,Protein_CAPN7
161,Protein_CAPZA1
162,Protein_CARNMT1
163,Protein_CASP6
164,Protein_CASP8
165,Protein_CAST
166,Protein_CAT
167,Protein_CBLL1
168,Protein_CCDC126
169,Protein_CCDC15
170,Protein_CCDC57
171,Protein_CCDC88B
172,Protein_CCDC90B
173,Protein_CCDC91
174,Protein_CCNG1
175,Protein_CCNG2
176,Protein_CCNH
177,Protein_CCNI
178,Protein_CCR5
179,Protein_CCZ1B
180,Protein_CD14
181,Protein_CD160
182,Protein_CD164
183,Protein_CD19
184,Protein_CD22
185,Protein_CD300LF
186,Protein_CD302
187,Protein_CD3G
188,Protein_CD46
189,Protein_CD47
190,Protein_CD79A
191,Protein_CD9
192,Protein_CDC14A
193,Protein_CDC26
194,Protein_CDC42
195,Protein_CDC42BPB
196,Protein_CDC42SE2
197,Protein_CDC5L
198,Protein_CDCA2
199,Protein_CDCA5
200,Protein_CDCA8
201,Protein_CDK5RAP3
202,Protein_CDK9
203,Protein_CDKN1B
204,Protein_CEBPZ
205,Protein_CENPM
206,Protein_CENPT
207,Protein_CEP164
208,Protein_CEP85L
209,Protein_CERK
210,Protein_CERS2
211,Protein_CERS6
212,Protein_CFAP44
213,Protein_CGRRF1
214,Protein_CHD4
215,Protein_CHKB
216,Protein_CHMP1A
217,Protein_CHMP1B
218,Protein_CHMP2B
219,Protein_CHPF
220,Protein_CHPF2
221,Protein_CIMAP1B
222,Protein_CIR1
223,Protein_CISD1
224,Protein_CKS2
225,Protein_CLASP1
226,Protein_CLDN9
227,Protein_CLIP1
228,Protein_CLK1
229,Protein_CLN3
230,Protein_CLOCK
231,Protein_CLPTM1
232,Protein_CLPTM1L
233,Protein_CLSTN1
234,Protein_CLTC
235,Protein_CMPK1
236,Protein_CNBP
237,Protein_CNDP2
238,Protein_CNEP1R1
239,Protein_CNGB1
240,Protein_CNIH1
241,Protein_CNN2
242,Protein_CNOT7
243,Protein_CNOT8
244,Protein_COG3
245,Protein_COL7A1
246,Protein_COMMD5
247,Protein_COMMD8
248,Protein_COMMD9
249,Protein_COMTD1
250,Protein_COP1
251,Protein_COPG1
252,Protein_COQ10B
253,Protein_COX5B
254,Protein_COX6A1
255,Protein_COX7A2
256,Protein_CPEB3
257,Protein_CRADD
258,Protein_CRBN
259,Protein_CREB1
260,Protein_CREB3L2
261,Protein_CRLF3
262,Protein_CRTAP
263,Protein_CRTC1
264,Protein_CSE1L
265,Protein_CSNK1A1
266,Protein_CSTF2
267,Protein_CTBP2
268,Protein_CTDSP2
269,Protein_CTNNB1
270,Protein_CTNNBL1
271,Protein_CTR9
272,Protein_CTSZ
273,Protein_CUBN
274,Protein_CUL4A
275,Protein_CXCL1
276,Protein_CXCL5
277,Protein_CYB5D1
278,Protein_CYB5R4
279,Protein_CYBC1
280,Protein_CYRIB
281,Protein_CYTIP
282,Protein_DAPP1
283,Protein_DARS1
284,Protein_DAXX
285,Protein_DAZAP2
286,Protein_DCAF6
287,Protein_DCAF7
288,Protein_DCK
289,Protein_DCP1A
290,Protein_DCTN1
291,Protein_DCTN5
292,Protein_DCTN6
293,Protein_DDRGK1
294,Protein_DDT
295,Protein_DDX1
296,Protein_DDX17
297,Protein_DDX23
298,Protein_DDX27
299,Protein_DDX39B
300,Protein_DEAF1
301,Protein_DECR1
302,Protein_DEDD
303,Protein_DEFB123
304,Protein_DENND3
305,Protein_DENND6B
306,Protein_DGCR2
307,Protein_DGKA
308,Protein_DHRS1
309,Protein_DHRS7
310,Protein_DHX30
311,Protein_DLD
312,Protein_DMAC2
313,Protein_DMXL1
314,Protein_DNAJB14
315,Protein_DNAJB6
316,Protein_DNM2
317,Protein_DNPH1
318,Protein_DOP1B
319,Protein_DPM3
320,Protein_DPP9
321,Protein_DR1
322,Protein_DRAP1
323,Protein_DRC7
324,Protein_DRG1
325,Protein_DSTN
326,Protein_DSTYK
327,Protein_DTNBP1
328,Protein_DUSP11
329,Protein_DUSP3
330,Protein_DYNC1LI1
331,Protein_DYNC2I2
332,Protein_DYRK1A
333,Protein_E4F1
334,Protein_EAF1
335,Protein_EAPP
336,Protein_ECHDC1
337,Protein_EDF1
338,Protein_EEF1B2
339,Protein_EEF1D
340,Protein_EFHC2
341,Protein_EFTUD2
342,Protein_EGLN2
343,Protein_EIF1AX
344,Protein_EIF1B
345,Protein_EIF2AK2
346,Protein_EIF3A
347,Protein_EIF3M
348,Protein_EIF4E
349,Protein_EIF4G2
350,Protein_ELF1
351,Protein_ELMOD3
352,Protein_ELOVL5
353,Protein_EMG1
354,Protein_EPHX2
355,Protein_ERAP2
356,Protein_ERBIN
357,Protein_ERGIC2
358,Protein_ETS1
359,Protein_ETV5
360,Protein_EVA1B
361,Protein_EVI2A
362,Protein_EVI2B
363,Protein_EXOC3
364,Protein_EXOC7
365,Protein_EXOC8
366,Protein_F11R
367,Protein_FAM111A
368,Protein_FAM133B
369,Protein_FAM13B
370,Protein_FAM156B
371,Protein_FAM162A
372,Protein_FAM170B
373,Protein_FAM174A
374,Protein_FAM174C
375,Protein_FAM234A
376,Protein_FARSA
377,Protein_FASTK
378,Protein_FASTKD5
379,Protein_FAU
380,Protein_FBXL3
381,Protein_FBXO10
382,Protein_FBXO38
383,Protein_FBXO46
384,Protein_FBXO7
385,Protein_FBXO8
386,Protein_FBXW5
387,Protein_FCGR2A
388,Protein_FCGR3A
389,Protein_FCGR3B
390,Protein_FCHO2
391,Protein_FCRL5
392,Protein_FEZ1
393,Protein_FGF13
394,Protein_FGFR1OP2
395,Protein_FKBP2
396,Protein_FLI1
397,Protein_FMNL1
398,Protein_FNTA
399,Protein_FRG1
400,Protein_FTH1
401,Protein_FUBP3
402,Protein_FUCA2
403,Protein_FYB1
404,Protein_FYN
405,Protein_G3BP1
406,Protein_GABARAPL2
407,Protein_GABPA
408,Protein_GAD1
409,Protein_GAP43
410,Protein_GAPDH
411,Protein_GART
412,Protein_GAS6
