entity_id,label,embedding_value,direction
2497,Protein_GRB2,30729768960.0,positive
2328,Protein_CTNNB1,13184926720.0,positive
2834,Protein_PIK3R1,12992475136.0,positive
2463,Protein_FYN,10845898752.0,positive
3053,Protein_SHC1,8991926272.0,positive
3137,Protein_SUMO1,8211485184.0,positive
2643,Protein_MAPK1,7716414464.0,positive
2600,Protein_KRAS,7283774976.0,positive
2569,Protein_ITGB1,6984373248.0,positive
3082,Protein_SMAD4,6194028032.0,positive
2778,Protein_NXF1,-7438287360.0,negative
332,GO_0045087_instance,-3660575744.0,negative
326,GO_0044419_instance,-3552204288.0,negative
307,GO_0043207_instance,-3525389056.0,negative
402,GO_0051707_instance,-3511625984.0,negative
120,GO_0006952_instance,-3494618112.0,negative
449,GO_0098542_instance,-3490613248.0,negative
472,GO_0140546_instance,-3399420672.0,negative
7815,Reaction_R-HSA-9629591,-3343704320.0,negative
2079,Protein_ACTR3,-3169951744.0,negative
