entity_id,label,embedding_value,direction
367,GO_0050794_instance,1282924160.0,positive
365,GO_0050789_instance,1260004864.0,positive
416,GO_0065007_instance,1258733568.0,positive
138,GO_0008150_instance,959114240.0,positive
162,GO_0009987_instance,893487808.0,positive
139,GO_0008152_instance,836366848.0,positive
306,GO_0043170_instance,828645056.0,positive
793,Pathway_R-HSA-191273,824664768.0,positive
110,GO_0006796_instance,792820352.0,positive
442,GO_0097190_instance,782900544.0,positive
2606,Protein_KRAS,-41341026304.0,negative
2503,Protein_GRB2,-15895554048.0,negative
3059,Protein_SHC1,-9238758400.0,negative
2840,Protein_PIK3R1,-8568059904.0,negative
2649,Protein_MAPK1,-7599394304.0,negative
2334,Protein_CTNNB1,-7385640960.0,negative
2729,Protein_MYC,-6353587712.0,negative
3127,Protein_STAT1,-5658502656.0,negative
3100,Protein_SNW1,-5606103040.0,negative
2784,Protein_NXF1,-5402960896.0,negative
