entity_id,label,patient_connections
Protein_ACIN1,Entity_Protein_ACIN1,163
Protein_RBM42,Entity_Protein_RBM42,163
Protein_HINT1,Entity_Protein_HINT1,163
Protein_RAPGEF6,Entity_Protein_RAPGEF6,163
Protein_RASGRP2,Entity_Protein_RASGRP2,163
Protein_RBL2,Entity_Protein_RBL2,163
Protein_HHEX,Entity_Protein_HHEX,163
Protein_RBM23,Entity_Protein_RBM23,163
Protein_HECA,Entity_Protein_HECA,163
Protein_HEBP2,Entity_Protein_HEBP2,163
Protein_HBA2,Entity_Protein_HBA2,163
Protein_RAD21,Entity_Protein_RAD21,163
Protein_REEP5,Entity_Protein_REEP5,163
Protein_H2AJ,Entity_Protein_H2AJ,163
Protein_RERE,Entity_Protein_RERE,163
Protein_COP1,Entity_Protein_COP1,163
Protein_RGS18,Entity_Protein_RGS18,163
Protein_GOLPH3,Entity_Protein_GOLPH3,163
Protein_UQCRC1,Entity_Protein_UQCRC1,163
Protein_GNA13,Entity_Protein_GNA13,163
Protein_H4C3,Entity_Protein_H4C3,163
Protein_HPS6,Entity_Protein_HPS6,163
Protein_ZMIZ1,Entity_Protein_ZMIZ1,163
Protein_KBTBD2,Entity_Protein_KBTBD2,163
Protein_PTPN12,Entity_Protein_PTPN12,163
Protein_ZNF185,Entity_Protein_ZNF185,163
Protein_RAB11A,Entity_Protein_RAB11A,163
Protein_KANSL1,Entity_Protein_KANSL1,163
Protein_ZSWIM8,Entity_Protein_ZSWIM8,163
Protein_KCTD5,Entity_Protein_KCTD5,163
Protein_KCTD20,Entity_Protein_KCTD20,163
Protein_RAB24,Entity_Protein_RAB24,163
Protein_RAB37,Entity_Protein_RAB37,163
Protein_RABGAP1,Entity_Protein_RABGAP1,163
Protein_ISY1,Entity_Protein_ISY1,163
Protein_IRF1,Entity_Protein_IRF1,163
Protein_RAB3GAP1,Entity_Protein_RAB3GAP1,163
Protein_INPP5D,Entity_Protein_INPP5D,163
Protein_ZNF746,Entity_Protein_ZNF746,163
Protein_RABAC1,Entity_Protein_RABAC1,163
Protein_IDS,Entity_Protein_IDS,163
Protein_ID2,Entity_Protein_ID2,163
Protein_RNF181,Entity_Protein_RNF181,163
Protein_RNF24,Entity_Protein_RNF24,163
Protein_GDI1,Entity_Protein_GDI1,163
Protein_EEF1D,Entity_Protein_EEF1D,163
Protein_EVI2B,Entity_Protein_EVI2B,163
Protein_ETS1,Entity_Protein_ETS1,163
Protein_ELOVL5,Entity_Protein_ELOVL5,163
Protein_ELF1,Entity_Protein_ELF1,163
Protein_EIF3M,Entity_Protein_EIF3M,163
Protein_EIF2AK2,Entity_Protein_EIF2AK2,163
Protein_EIF1B,Entity_Protein_EIF1B,163
Protein_EGLN2,Entity_Protein_EGLN2,163
Protein_EDF1,Entity_Protein_EDF1,163
Protein_RNF38,Entity_Protein_RNF38,163
Protein_E4F1,Entity_Protein_E4F1,163
Protein_DUSP3,Entity_Protein_DUSP3,163
Protein_SAP30L,Entity_Protein_SAP30L,163
Protein_DSTN,Entity_Protein_DSTN,163
Protein_DRG1,Entity_Protein_DRG1,163
Protein_DRAP1,Entity_Protein_DRAP1,163
Protein_DNM2,Entity_Protein_DNM2,163
Protein_SCAND1,Entity_Protein_SCAND1,163
Protein_EXOC7,Entity_Protein_EXOC7,163
Protein_RAMAC,Entity_Protein_RAMAC,163
Protein_RTN3,Entity_Protein_RTN3,163
Protein_TENT5A,Entity_Protein_TENT5A,163
Protein_GCA,Entity_Protein_GCA,163
Protein_GAPDH,Entity_Protein_GAPDH,163
Protein_GABARAPL2,Entity_Protein_GABARAPL2,163
Protein_UNC45A,Entity_Protein_UNC45A,163
Protein_FTH1,Entity_Protein_FTH1,163
Protein_FRG1,Entity_Protein_FRG1,163
Protein_RNPS1,Entity_Protein_RNPS1,163
Protein_PTBP3,Entity_Protein_PTBP3,163
Protein_RPA2,Entity_Protein_RPA2,163
Protein_FCGR3B,Entity_Protein_FCGR3B,163
Protein_RPLP1,Entity_Protein_RPLP1,163
Protein_RPS3A,Entity_Protein_RPS3A,163
Protein_RPS9,Entity_Protein_RPS9,163
Protein_RRBP1,Entity_Protein_RRBP1,163
Protein_FAU,Entity_Protein_FAU,163
Protein_RSU1,Entity_Protein_RSU1,163
Protein_CYRIB,Entity_Protein_CYRIB,163
Protein_KLHL24,Entity_Protein_KLHL24,163
Protein_KPNA6,Entity_Protein_KPNA6,163
Protein_DHRS7,Entity_Protein_DHRS7,163
Protein_PNRC2,Entity_Protein_PNRC2,163
Protein_NOSIP,Entity_Protein_NOSIP,163
Protein_NME1,Entity_Protein_NME1,163
Protein_NFIL3,Entity_Protein_NFIL3,163
Protein_VAMP5,Entity_Protein_VAMP5,163
Protein_NDUFV2,Entity_Protein_NDUFV2,163
Protein_NDUFB7,Entity_Protein_NDUFB7,163
Protein_NDUFA13,Entity_Protein_NDUFA13,163
Protein_NDUFA11,Entity_Protein_NDUFA11,163
Protein_YBX1,Entity_Protein_YBX1,163
Protein_PLEK,Entity_Protein_PLEK,163
Protein_NAMPT,Entity_Protein_NAMPT,163
