edge_type,importance,edge_count
Sample->hasGeneExpressionOA->Protein,0.4658762177291989,119173
Protein->isAssociatedWithGO->GO_Term,0.2656369720567309,67951
Reaction->partOfPathway->Pathway,0.09456458851308033,24190
Protein->isAssociatedWithProteinPathway->Pathway,0.04888899313536927,12506
Protein->participatedIn->Reaction,0.04868962174164595,12455
Protein->hasPhysicalInteractionWith->Protein,0.02749761536176135,7034
Protein->hasFunctionalInteractionWith->Protein,0.026715766758924803,6834
Pathway->containedIn->Pathway,0.017982517865240574,4600
GO_Term->isAGO->GO_Term,0.002052352582445935,525
Protein->hasGeneticInteractionWith->Protein,0.0006528435833685165,167
Protein->hasModification->GO_Term,0.0006411158543259683,164
GO_Term->partOfGO->GO_Term,0.00029319322606370505,75
GO_Term->regulatesGO->GO_Term,0.00024628230989351223,63
GO_Term->hasPartGO->GO_Term,8.600334631202014e-05,22
GO_Term->negativelyRegulatesGO->GO_Term,8.600334631202014e-05,22
GO_Term->positivelyRegulatesGO->GO_Term,7.818486028365468e-05,20
GO_Term->occursInGO->GO_Term,1.17277290425482e-05,3
