feature,top_entity,top_entity_score,importance
Feature_55,Protein_RASSF5,33.85612487792969,0.0082572743698075
Feature_26,Protein_CTR9,30.48688507080078,0.0061555709215986
Feature_76,Protein_TRAK1,30.216997146606445,0.0055961044551466
Feature_73,Protein_ERBIN,29.825578689575195,0.0155214419788627
Feature_80,Protein_SPATC1L,29.733585357666016,0.0041979775754131
Feature_75,Protein_CTR9,29.08587646484375,0.0026152449970778
Feature_77,Protein_SPATC1L,28.719032287597656,0.0116150751849792
Feature_44,Protein_RIOX2,28.488012313842773,0.0054065742404637
Feature_12,Protein_NAA16,28.473289489746094,0.0107772848123652
Feature_47,Protein_GNMT,26.885377883911133,0.0024796797248305
Feature_6,Protein_NUS1,26.38079833984375,0.0232391635343744
Feature_57,Protein_RASSF5,25.792348861694336,0.0105863434387468
Feature_16,Protein_PDE7A,24.639657974243164,0.0103474611926624
Feature_78,Protein_ADAMTSL4,23.534549713134766,0.0046222292624055
Feature_20,Protein_AEBP2,21.792579650878906,0.0042556065927764
Feature_68,Protein_TGFB3,21.32218360900879,0.0039040837932819
Feature_74,Protein_CDCA5,20.966354370117188,0.0063170318357782
