feature,top_entity,top_entity_score,importance
Feature_59,Protein_RIOX2,34.86905288696289,0.1359678023187819
Feature_87,Protein_CUBN,33.87763977050781,2.9719560151700444
Feature_55,Protein_RASSF5,33.85612487792969,0.3976266213048828
Feature_27,Protein_RANBP9,31.348878860473633,0.1489166099340048
Feature_33,Protein_LEPR,31.10723114013672,0.0735596505436413
Feature_42,Protein_PDIA4,31.00529670715332,0.163193464092476
Feature_8,Protein_CCDC91,30.86517333984375,0.092739637186804
Feature_76,Protein_TRAK1,30.216997146606445,1.926777937591492
Feature_73,Protein_ERBIN,29.825578689575195,5.628357082531232
Feature_75,Protein_CTR9,29.08587646484375,0.0964091514749497
Feature_77,Protein_SPATC1L,28.719032287597656,0.9040531957024508
Feature_12,Protein_NAA16,28.473289489746094,0.2120996209586987
Feature_25,Protein_MAP7,27.51497459411621,0.0652430674281751
Feature_6,Protein_NUS1,26.38079833984375,1.4264192983054746
Feature_57,Protein_RASSF5,25.792348861694336,1.34735077439496
Feature_71,Protein_MAP7,24.62058448791504,0.7622194466676266
Feature_17,Protein_LMNB2,24.435197830200195,0.073616438223191
Feature_78,Protein_ADAMTSL4,23.534549713134766,0.3035666057697351
Feature_34,Protein_RANBP9,21.783546447753906,0.2528394907376051
