protein,label,score,kind,immune,size,degree
Protein_PDIA4,PDIA4,31.00529670715332,consensus,False,533.2597109982344,1
Protein_ADAMTSL4,ADAMTSL4,23.53454971313477,consensus,False,359.6732686957694,3
Protein_RANBP9,RANBP9,28.16043472290039,consensus,False,467.1579582440076,3
Protein_PRR13,PRR13,31.98018455505371,consensus,False,555.9117046069628,2
Protein_TMEM128,TMEM128,32.66533279418945,consensus,False,571.8314573942805,0
Protein_GNMT,GNMT,26.885377883911133,consensus,False,437.5313920397469,3
Protein_MBD2,MBD2,24.30706787109375,consensus,False,377.6231040685265,3
Protein_CDCA5,CDCA5,20.966354370117188,consensus,False,300.0,4
Protein_PLAA,PLAA,24.828598022460938,consensus,False,389.7411109561616,0
Protein_CTR9,CTR9,29.552879333496094,consensus,True,499.51208645234794,0
Protein_LEPR,LEPR,31.10723114013672,consensus,True,535.6282071585078,0
Protein_MAP7,MAP7,26.067779541015625,consensus,False,418.53409663016424,0
Protein_TRAK1,TRAK1,30.216997146606445,consensus,False,514.9431870557842,0
Protein_NAA16,NAA16,28.473289489746094,consensus,False,474.4272910132198,1
Protein_RIOX2,RIOX2,31.678532600402832,consensus,False,548.9026746313318,0
Protein_ERBIN,ERBIN,29.825578689575195,consensus,True,505.84838870938387,0
Protein_RANGRF,RANGRF,21.534151077270508,consensus,False,313.19303282853946,0
Protein_RASSF5,RASSF5,29.248252868652344,consensus,True,492.4339422847378,2
Protein_LMNB2,LMNB2,24.435197830200195,consensus,False,380.6002660272244,3
Protein_TGFB3,TGFB3,21.32218360900879,consensus,True,308.26786554220627,0
Protein_NUS1,NUS1,26.38079833984375,consensus,False,425.80724076231985,0
Protein_CUBN,CUBN,33.87763977050781,consensus,False,600.0,2
Protein_PDE7A,PDE7A,24.639657974243164,consensus,False,385.3509969816369,0
Protein_ZBTB2,ZBTB2,22.84899139404297,consensus,True,343.74398750109316,0
Protein_BRI3BP,BRI3BP,24.883319854736328,consensus,False,391.01259936134556,1
Protein_CCDC91,CCDC91,30.86517333984375,consensus,False,530.0038763629316,2
Protein_SPATC1L,SPATC1L,28.972670555114743,consensus,False,486.030653108063,2
Protein_AEBP2,AEBP2,21.792579650878903,consensus,False,319.1977465095006,0
