protein,protein_name,degree_centrality,betweenness_centrality,closeness_centrality
Protein_ERBIN,ERBIN,0.207663782447466,0.048405020040302546,0.46952988972722
Protein_TGFB3,TGFB3,0.18170580964153274,0.015879402751208135,0.4972341733251383
Protein_CDCA5,CDCA5,0.17552533992583436,0.0072402165299452256,0.472822910578609
Protein_LMNB2,LMNB2,0.16440049443757723,0.0028514341642773677,0.48764315852923446
Protein_CTR9,CTR9,0.15203955500618047,0.007357810467759093,0.46709006928406466
Protein_MBD2,MBD2,0.1260815822002472,0.004599830053549707,0.46414228341939184
Protein_RANBP9,RANBP9,0.12484548825710753,0.013775983805022865,0.4801186943620178
Protein_TRAK1,TRAK1,0.11372064276885042,0.00681222605153169,0.4708963911525029
Protein_CUBN,CUBN,0.11001236093943138,0.024295914823091104,0.42895015906680806
Protein_PLAA,PLAA,0.10506798516687267,0.001356131617016708,0.4550056242969629
Protein_RANGRF,RANGRF,0.10135970333745364,0.006250959411059249,0.4342458400429415
Protein_NAA16,NAA16,0.09641532756489492,0.0005564531159304466,0.4358836206896552
Protein_RASSF5,RASSF5,0.09270704573547589,0.0010381271806321674,0.458356940509915
Protein_LEPR,LEPR,0.09270704573547589,0.010475391731990202,0.4312366737739872
Protein_PDIA4,PDIA4,0.08529048207663782,0.0005843647901948188,0.45069637883008357
Protein_AEBP2,AEBP2,0.08281829419035847,0.0023092373845303256,0.43447905477980664
Protein_NUS1,NUS1,0.08158220024721878,0.0048404256687530674,0.4644087256027555
Protein_RIOX2,RIOX2,0.07663782447466007,0.006174869238635471,0.4075566750629723
Protein_ADAMTSL4,ADAMTSL4,0.07045735475896167,0.005959134706725216,0.4599204093234793
Protein_ZBTB2,ZBTB2,0.06798516687268231,0.000359706079290151,0.44646799116997793
Protein_SPATC1L,SPATC1L,0.05809641532756489,0.0003910720867268666,0.4300903774587985
Protein_GNMT,GNMT,0.055624227441285534,0.010751037899994147,0.4337801608579088
Protein_MAP7,MAP7,0.05315203955500618,0.00035808393322993444,0.4442613948380011
Protein_CCDC91,CCDC91,0.044499381953028425,0.00014692250169626037,0.4000989119683482
Protein_PDE7A,PDE7A,0.04079110012360939,0.0009533611750755403,0.411286222674123
Protein_BRI3BP,BRI3BP,0.03337453646477132,0.00011991249761364471,0.42179353493222105
Protein_PRR13,PRR13,0.030902348578491962,2.1128298216133206e-05,0.4282689253573319
Protein_TMEM128,TMEM128,0.016069221260815822,4.547978068687675e-06,0.41852043455768234
