go_term,go_id,num_biomarkers,biomarkers
GO_0110165_instance,0110165,28,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
GO_0005488_instance,0005488,27,"ADAMTSL4,AEBP2,BRI3BP,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
GO_0005622_instance,0005622,26,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0005515_instance,0005515,26,"ADAMTSL4,AEBP2,BRI3BP,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
GO_0009987_instance,0009987,25,"ADAMTSL4,AEBP2,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0043229_instance,0043229,25,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0043226_instance,0043226,25,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0043227_instance,0043227,23,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
GO_0043231_instance,0043231,23,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
GO_0050789_instance,0050789,21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0065007_instance,0065007,21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
GO_0005737_instance,0005737,21,"ADAMTSL4,BRI3BP,CCDC91,CDCA5,CUBN,ERBIN,GNMT,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1"
GO_0050794_instance,0050794,21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
