protein,protein_name,degree_centrality,betweenness_centrality,closeness_centrality
Protein_LMNB2,LMNB2,0.1784841075794621,0.006338499616455875,0.47119815668202764
Protein_CDCA5,CDCA5,0.17114914425427874,0.01672020730668499,0.45444444444444443
Protein_CTR9,CTR9,0.10513447432762836,0.015369445777346391,0.44945054945054946
Protein_ERBIN,ERBIN,0.08312958435207823,0.01764301325155134,0.3994140625
Protein_RANBP9,RANBP9,0.07823960880195599,0.012897946882888724,0.44216216216216214
Protein_PDIA4,PDIA4,0.06845965770171149,0.0007827794752219388,0.4177732379979571
Protein_TRAK1,TRAK1,0.05623471882640587,0.01332264711812977,0.4177732379979571
Protein_MBD2,MBD2,0.05378973105134474,0.006383993302628304,0.44408251900108575
Protein_ADAMTSL4,ADAMTSL4,0.04645476772616137,0.008730775361143965,0.4225206611570248
Protein_MAP7,MAP7,0.039119804400977995,0.0006510393811844275,0.418200408997955
Protein_AEBP2,AEBP2,0.03667481662591687,0.003073466497166809,0.4160732451678535
Protein_CUBN,CUBN,0.03667481662591687,0.018451273977479806,0.3808193668528864
Protein_TGFB3,TGFB3,0.034229828850855744,0.012532841419399905,0.3858490566037736
Protein_NAA16,NAA16,0.034229828850855744,5.357997761810582e-05,0.3978599221789883
Protein_GNMT,GNMT,0.029339853300733496,0.010634284208674833,0.4085914085914086
Protein_RANGRF,RANGRF,0.02689486552567237,0.00591640086273748,0.40656063618290256
Protein_ZBTB2,ZBTB2,0.02444987775061125,0.00036541889271680803,0.37419945105215
Protein_BRI3BP,BRI3BP,0.022004889975550123,8.570327522694887e-05,0.3718181818181818
Protein_TMEM128,TMEM128,0.022004889975550123,5.294926753338337e-05,0.3869441816461684
Protein_RASSF5,RASSF5,0.022004889975550123,0.003089500859628092,0.37522935779816513
Protein_NUS1,NUS1,0.022004889975550123,0.002108689085411738,0.42034943473792397
Protein_SPATC1L,SPATC1L,0.022004889975550123,0.00010031136605947293,0.3622674933569531
Protein_PRR13,PRR13,0.019559902200488997,5.1408453006066706e-05,0.34514767932489454
Protein_PDE7A,PDE7A,0.014669926650366748,0.00109539849347688,0.3797585886722377
Protein_RIOX2,RIOX2,0.014669926650366748,0.0020913954913642867,0.3735159817351598
Protein_PLAA,PLAA,0.014669926650366748,0.00015627300326741047,0.38011152416356875
Protein_LEPR,LEPR,0.012224938875305624,0.0002559596527367049,0.28442280945758
Protein_CCDC91,CCDC91,0.009779951100244499,3.496644514910012e-05,0.31293037490436115
