go_term,go_id,num_biomarkers,biomarkers
GO_0072659_instance,0072659,2,"MAP7,RANGRF"
GO_0005874_instance,0005874,2,"MAP7,RASSF5"
GO_0048193_instance,0048193,2,"CCDC91,RANGRF"
GO_0015980_instance,0015980,2,"GNMT,LEPR"
GO_0032970_instance,0032970,2,"RANGRF,TGFB3"
GO_1903706_instance,1903706,1,CTR9
GO_0006888_instance,0006888,1,RANGRF
GO_0006913_instance,0006913,1,RANGRF
GO_0000209_instance,0000209,1,PLAA
GO_0006354_instance,0006354,1,CTR9
GO_0006368_instance,0006368,1,CTR9
GO_0006997_instance,0006997,1,LMNB2
GO_0045637_instance,0045637,1,CTR9
GO_0051169_instance,0051169,1,RANGRF
GO_0098852_instance,0098852,1,CUBN
GO_0044872_instance,0044872,1,CUBN
GO_0005765_instance,0005765,1,CUBN
GO_0045088_instance,0045088,1,ERBIN
GO_0042953_instance,0042953,1,CUBN
GO_0072384_instance,0072384,1,TRAK1
GO_0000118_instance,0000118,1,MBD2
GO_1901990_instance,1901990,1,CDCA5
GO_0046785_instance,0046785,1,RANBP9
GO_0051258_instance,0051258,1,RANBP9
GO_0009895_instance,0009895,1,LEPR
GO_1902903_instance,1902903,1,TGFB3
GO_0110053_instance,0110053,1,TGFB3
GO_0032956_instance,0032956,1,TGFB3
GO_0006302_instance,0006302,1,CDCA5
GO_0000151_instance,0000151,1,RANBP9
GO_0000775_instance,0000775,1,CDCA5
GO_1901987_instance,1901987,1,CDCA5
GO_0034976_instance,0034976,1,PDIA4
GO_0051650_instance,0051650,1,TRAK1
GO_0005938_instance,0005938,1,TRAK1
GO_0005769_instance,0005769,1,TRAK1
GO_0001932_instance,0001932,1,MAP7
