source,target
Protein_FRG1,Protein_EFTUD2
Protein_FRG1,Protein_CDC5L
Protein_FRG1,Protein_GNMT
Protein_FRG1,Protein_PPWD1
Protein_TRAK1,Protein_CDC5L
Protein_MYC,Protein_AURKB
Protein_MYC,Protein_CDC5L
Protein_MYC,Protein_CHD4
Protein_MYC,Protein_CTR9
Protein_MYC,Protein_DCK
Protein_MYC,Protein_DCTN1
Protein_MYC,Protein_DDX39B
Protein_MYC,Protein_EFTUD2
Protein_MYC,Protein_HNRNPH1
Protein_MYC,Protein_KIF20A
Protein_MYC,Protein_KRAS
Protein_MYC,Protein_LMNB2
Protein_MYC,Protein_MYC
Protein_MYC,Protein_P4HB
Protein_MYC,Protein_PLAA
Protein_MYC,Protein_PPP1CB
Protein_MYC,Protein_PRC1
Protein_MYC,Protein_PRPF31
Protein_MYC,Protein_RNF31
Protein_MYC,Protein_RNF4
Protein_MYC,Protein_SEC16A
Protein_MYC,Protein_SMAD4
Protein_MYC,Protein_SMARCA5
Protein_MYC,Protein_TOP2A
Protein_MYC,Protein_TRIP6
Protein_MYC,Protein_TUBG1
Protein_MYC,Protein_YWHAE
Protein_COG3,Protein_CTR9
Protein_COG3,Protein_COG3
Protein_RTN4,Protein_RNF4
Protein_RTN4,Protein_TERF1
Protein_RTN4,Protein_ARL6IP5
Protein_RTN4,Protein_NUS1
Protein_RTN4,Protein_PRR13
Protein_RTN4,Protein_RTN4
Protein_RTN4,Protein_TMEM128
Protein_PDE7A,Protein_DCK
Protein_EFTUD2,Protein_BRI3BP
Protein_EFTUD2,Protein_CDC5L
Protein_EFTUD2,Protein_CHD4
Protein_EFTUD2,Protein_DCTN1
Protein_EFTUD2,Protein_DDX39B
Protein_EFTUD2,Protein_EFTUD2
Protein_EFTUD2,Protein_HNRNPH1
Protein_EFTUD2,Protein_MAP7
Protein_EFTUD2,Protein_NFIC
Protein_EFTUD2,Protein_P4HB
Protein_EFTUD2,Protein_PPP1CB
Protein_EFTUD2,Protein_PPWD1
Protein_EFTUD2,Protein_PRPF31
Protein_EFTUD2,Protein_RANBP9
Protein_EFTUD2,Protein_RNF4
Protein_EFTUD2,Protein_SDCBP
Protein_EFTUD2,Protein_SMARCA5
Protein_EFTUD2,Protein_SRPK2
Protein_EFTUD2,Protein_TOP2A
Protein_EFTUD2,Protein_TRIP6
Protein_EFTUD2,Protein_TUBG1
Protein_EFTUD2,Protein_YWHAE
Protein_EFTUD2,Protein_ZC3H18
Protein_TSEN15,Protein_KRAS
Protein_TSEN15,Protein_LMNB2
Protein_TSEN15,Protein_RANGRF
Protein_NAE1,Protein_KRAS
Protein_NAE1,Protein_LMNB2
Protein_NAE1,Protein_PDIA4
Protein_NAE1,Protein_PPP1R2
Protein_RNF4,Protein_ARL6IP5
Protein_RNF4,Protein_CALR
Protein_RNF4,Protein_CD47
Protein_RNF4,Protein_CHD4
Protein_RNF4,Protein_DDX39B
Protein_RNF4,Protein_HSD17B11
Protein_RNF4,Protein_ITGB1
Protein_RNF4,Protein_LMNB2
Protein_RNF4,Protein_NUS1
Protein_RNF4,Protein_P4HB
Protein_RNF4,Protein_PDIA4
Protein_RNF4,Protein_RNF4
Protein_RNF4,Protein_SRPK2
Protein_RNF4,Protein_SURF4
Protein_RNF4,Protein_THAP1
Protein_RNF4,Protein_TMEM106B
Protein_RNF4,Protein_TOP2A
Protein_SPATC1L,Protein_NXF1
Protein_SPATC1L,Protein_PPP1CB
Protein_SPATC1L,Protein_SIAH1
Protein_SPATC1L,Protein_SPATC1L
Protein_TRIP6,Protein_LMNB2
Protein_TRIP6,Protein_P4HB
Protein_TRIP6,Protein_NR3C1
Protein_TRIP6,Protein_RNF31
Protein_TRIP6,Protein_ADAMTSL4
Protein_EFHC2,Protein_LMNB2
Protein_EFHC2,Protein_NR3C1
Protein_EFHC2,Protein_RANBP9
Protein_NAA16,Protein_CDCA5
Protein_NAA16,Protein_TCEA1
Protein_PPP1R2,Protein_PDIA4
Protein_PPP1R2,Protein_YWHAE
Protein_PPP1R2,Protein_PPP1CB
Protein_PPP1R2,Protein_TNFAIP8
Protein_DDX39B,Protein_NXF1
Protein_DDX39B,Protein_CDC5L
Protein_DDX39B,Protein_CHD4
