feature,mapped_feature
Feature_73,Protein_ERBIN
Feature_87,Protein_CUBN
Feature_76,Protein_TRAK1
Feature_6,Protein_NUS1
Feature_57,Protein_RASSF5
Feature_77,Protein_SPATC1L; Protein_ATF1; Protein_TRAK1
Feature_71,Protein_MAP7; Protein_LENG8; Protein_TERF1
Feature_55,Protein_RASSF5; Protein_RABIF; Protein_MASTL
Feature_78,Protein_ADAMTSL4
Feature_34,Protein_RANBP9
Feature_12,Protein_NAA16
Feature_42,Protein_PDIA4; Protein_NMD3; Protein_TROAP
Feature_27,Protein_RANBP9; Protein_FEZ1; Protein_SPATC1L
Feature_59,Protein_RIOX2
Feature_75,Protein_CTR9; Protein_PLEKHF2
Feature_8,Protein_CCDC91; Protein_DEFB123
Feature_17,Protein_LMNB2; Protein_SUCO
Feature_33,Protein_LEPR; Protein_NRG1
Feature_25,Protein_MAP7
