entity_id,label,embedding_value,direction
2771,Protein_NRG1,1045770048.0,positive
3175,Protein_THEMIS,968960640.0,positive
2944,Protein_RANBP9,959127744.0,positive
2472,Protein_GABPA,882216704.0,positive
2964,Protein_REPS2,746213376.0,positive
486,GO_1902533_instance,709658304.0,positive
2416,Protein_ELMOD3,687608064.0,positive
3138,Protein_STXBP3,681765888.0,positive
3113,Protein_SPSB1,677523776.0,positive
2288,Protein_CISD1,665745792.0,positive
2606,Protein_KRAS,-9194897408.0,negative
2503,Protein_GRB2,-2642808064.0,negative
2334,Protein_CTNNB1,-2560672256.0,negative
2840,Protein_PIK3R1,-2316084480.0,negative
3059,Protein_SHC1,-1942195968.0,negative
2469,Protein_FYN,-1261846016.0,negative
2514,Protein_H4C3,-1234892032.0,negative
3127,Protein_STAT1,-1219328896.0,negative
2575,Protein_ITGB1,-1084962688.0,negative
2613,Protein_LBR,-1047861312.0,negative
