entity,degree_centrality,betweenness_centrality,closeness_centrality
Protein_RIOX2,0.007833228048010107,0.00024321457012224315,0.36589312130177515
Protein_CUBN,0.011244472520530638,0.005676194177170803,0.3808584351842941
Protein_RASSF5,0.009475679090334808,1.1971057405678172e-05,0.37322582166265855
Pathway_R-HSA-5654738,0.005938092229943146,7.156084193644532e-05,0.3726634963981355
Protein_RANBP9,0.012760581174984208,0.0006918770210268872,0.41208934242724005
Protein_LEPR,0.009475679090334808,0.0024494592958981772,0.36210998261506083
Protein_PDIA4,0.008717624763108023,9.597229680770959e-06,0.366231723116787
Protein_CCDC91,0.004548325963360708,2.1021346220296377e-05,0.3565154722760236
Pathway_R-HSA-9013507,0.0012634238787113078,6.669620587988728e-07,0.349772415926466
Protein_NMD3,0.010991787744788376,2.2124967478161936e-05,0.3686367658702436
Pathway_R-HSA-400206,0.0030322173089071384,2.249951238777284e-05,0.3368945262620244
Pathway_R-HSA-9675136,0.0027795325331648768,3.020390096529653e-06,0.34258137119113574
Protein_FEZ1,0.010233733417561591,2.3817347268490134e-05,0.3684823091247672
Pathway_R-HSA-877300,0.003663929248262792,2.1412480900005196e-05,0.3592827961870177
Reaction_R-HSA-8868651,0.0024005053695514847,2.701452238720316e-06,0.35939699405167325
Protein_TRAK1,0.01162349968414403,0.00013520523443273308,0.4027170041721787
Pathway_R-HSA-909733,0.004548325963360708,4.4584659574619614e-06,0.34831015666255943
Pathway_R-HSA-216083,0.0048010107391029695,1.2773953674846412e-05,0.32584084640401795
Protein_NRG1,0.026531901452937462,0.002148592057047304,0.41858374319107305
Protein_ERBIN,0.021225521162349967,0.0037617710392129074,0.39982824813093554
