entity,num_biomarkers,biomarkers
GO_0110165_instance,12,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0009987_instance,12,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0043231_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0005622_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0043227_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0043229_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0043226_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0005488_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0008152_instance,11,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0005737_instance,10,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4"
GO_0005515_instance,10,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0044238_instance,10,"RIOX2,CUBN,RASSF5,RANBP9,LEPR"
GO_0051179_instance,10,"CUBN,RASSF5,LEPR,PDIA4,CCDC91"
GO_0065007_instance,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0050794_instance,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0019222_instance,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0050789_instance,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0051641_instance,9,"CUBN,RASSF5,PDIA4,CCDC91,NMD3"
GO_0016020_instance,9,"CUBN,RANBP9,LEPR,CCDC91,NMD3"
GO_0051234_instance,9,"CUBN,LEPR,PDIA4,CCDC91,NMD3"
GO_0031974_instance,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91"
GO_0043233_instance,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91"
GO_0070013_instance,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91"
GO_0080090_instance,8,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0060255_instance,8,"RIOX2,RASSF5,RANBP9,LEPR,NMD3"
GO_0005634_instance,8,"RIOX2,RASSF5,RANBP9,CCDC91,NMD3"
GO_0006810_instance,8,"CUBN,LEPR,PDIA4,CCDC91,NMD3"
GO_0050896_instance,8,"CUBN,RASSF5,RANBP9,LEPR,PDIA4"
GO_0048518_instance,8,"RASSF5,RANBP9,LEPR,NMD3,FEZ1"
GO_0048523_instance,7,"RIOX2,RASSF5,RANBP9,LEPR,FEZ1"
GO_0048519_instance,7,"RIOX2,RASSF5,RANBP9,LEPR,FEZ1"
GO_0071840_instance,7,"RIOX2,RANBP9,NMD3,FEZ1,TRAK1"
GO_0070727_instance,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3"
GO_0008104_instance,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3"
GO_0033036_instance,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3"
GO_0048522_instance,7,"RASSF5,RANBP9,LEPR,NMD3,FEZ1"
GO_0005654_instance,6,"RIOX2,RANBP9,CCDC91,NMD3,NRG1"
GO_0031981_instance,6,"RIOX2,RANBP9,CCDC91,NMD3,NRG1"
GO_0009889_instance,6,"RIOX2,LEPR,NMD3,TRAK1,NRG1"
GO_0016043_instance,6,"RIOX2,RANBP9,FEZ1,TRAK1,NRG1"
Pathway_0000000,6,"RIOX2,CUBN,RANBP9,TRAK1,NRG1"
GO_0012505_instance,6,"CUBN,PDIA4,CCDC91,FEZ1,TRAK1"
GO_0051649_instance,6,"CUBN,CCDC91,NMD3,FEZ1,TRAK1"
GO_0045184_instance,6,"CUBN,PDIA4,CCDC91,NMD3,TRAK1"
GO_0019538_instance,6,"RASSF5,RANBP9,LEPR,PDIA4,TRAK1"
GO_0051716_instance,6,"RASSF5,RANBP9,LEPR,PDIA4,NRG1"
Pathway_R-HSA-162582,6,"R-HSA-5654738,RANBP9,R-HSA-9013507,TRAK1,NRG1"
GO_0005829_instance,5,"RIOX2,CUBN,RANBP9,CCDC91,TRAK1"
GO_0019219_instance,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN"
GO_0051252_instance,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN"
GO_0043232_instance,5,"RIOX2,RASSF5,RANBP9,NMD3,FEZ1"
GO_0043228_instance,5,"RIOX2,RASSF5,RANBP9,NMD3,FEZ1"
GO_0009892_instance,5,"RIOX2,LEPR,FEZ1,NRG1,ERBIN"
GO_0010556_instance,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN"
GO_2001141_instance,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN"
GO_0016192_instance,5,"CUBN,LEPR,CCDC91,TRAK1,NRG1"
Pathway_R-HSA-1643685,5,"CUBN,R-HSA-9675136,TRAK1,NRG1,ERBIN"
GO_0009893_instance,5,"RASSF5,RANBP9,LEPR,NMD3,NRG1"
GO_0010604_instance,5,"RASSF5,RANBP9,LEPR,NMD3,NRG1"
GO_0032879_instance,5,"RASSF5,LEPR,NMD3,FEZ1,NRG1"
GO_0051239_instance,5,"RASSF5,LEPR,TRAK1,NRG1,ERBIN"
GO_0042802_instance,4,"RIOX2,CUBN,RASSF5,LEPR"
GO_0032991_instance,4,"RIOX2,CUBN,RANBP9,LEPR"
GO_0010468_instance,4,"RIOX2,TRAK1,NRG1,ERBIN"
GO_0006351_instance,4,"RIOX2,TRAK1,NRG1,ERBIN"
GO_0006355_instance,4,"RIOX2,TRAK1,NRG1,ERBIN"
GO_0071705_instance,4,"CUBN,PDIA4,CCDC91,NMD3"
GO_0015031_instance,4,"CUBN,PDIA4,CCDC91,NMD3"
GO_0036211_instance,4,"RASSF5,LEPR,TRAK1,NRG1"
GO_0043412_instance,4,"RASSF5,LEPR,TRAK1,NRG1"
GO_0051246_instance,4,"RASSF5,RANBP9,LEPR,NRG1"
Pathway_R-HSA-9006934,4,"R-HSA-5654738,RANBP9,NRG1,ERBIN"
GO_0032502_instance,4,"LEPR,FEZ1,TRAK1,NRG1"
GO_0048856_instance,4,"LEPR,FEZ1,TRAK1,NRG1"
GO_0046907_instance,4,"CCDC91,NMD3,FEZ1,TRAK1"
GO_0030674_instance,3,"RIOX2,NMD3,NRG1"
GO_0060090_instance,3,"RIOX2,NMD3,NRG1"
GO_0003824_instance,3,"RIOX2,PDIA4,NRG1"
GO_0010605_instance,3,"RIOX2,NRG1,ERBIN"
GO_0140096_instance,3,"RIOX2,PDIA4,NRG1"
GO_0036094_instance,3,"RIOX2,CUBN,RASSF5"
GO_0043167_instance,3,"RIOX2,CUBN,RASSF5"
GO_0031090_instance,3,"CUBN,TRAK1,ERBIN"
GO_0031410_instance,3,"CUBN,PDIA4,TRAK1"
GO_0097708_instance,3,"CUBN,PDIA4,TRAK1"
GO_0031982_instance,3,"CUBN,PDIA4,TRAK1"
GO_0005794_instance,3,"CUBN,CCDC91,FEZ1"
GO_0006897_instance,3,"CUBN,LEPR,NRG1"
GO_0009605_instance,3,"CUBN,NRG1,ERBIN"
Pathway_R-HSA-1430728,3,"CUBN,RANBP9,R-HSA-400206"
Protein_ITGB1,3,"RASSF5,RANBP9,R-HSA-216083"
Protein_KRAS,3,"RASSF5,RANBP9,NRG1"
GO_0015630_instance,3,"RASSF5,RANBP9,FEZ1"
GO_0005856_instance,3,"RASSF5,RANBP9,FEZ1"
GO_0002376_instance,3,"RASSF5,LEPR,ERBIN"
GO_0060341_instance,3,"RASSF5,NMD3,FEZ1"
Protein_MAPK1,3,"R-HSA-5654738,R-HSA-877300,NRG1"
GO_0019899_instance,3,"RANBP9,FEZ1,NRG1"
GO_0006996_instance,3,"RANBP9,FEZ1,ERBIN"
GO_0035556_instance,3,"RANBP9,NRG1,ERBIN"
