go_id,go_name,go_definition,num_biomarkers,biomarkers
110165,cellular anatomical structure,A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses.,28,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
5488,binding,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.",27,"ADAMTSL4,AEBP2,BRI3BP,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
5622,intracellular anatomical structure,A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.,26,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
5515,protein binding,Binding to a protein.,26,"ADAMTSL4,AEBP2,BRI3BP,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
9987,cellular process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",25,"ADAMTSL4,AEBP2,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
43229,intracellular organelle,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane.",25,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
43226,organelle,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane.",25,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
43227,membrane-bounded organelle,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.",23,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
43231,intracellular membrane-bounded organelle,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.",23,"ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
50789,regulation of biological process,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule.",21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
