reaction_id,num_biomarkers,biomarkers,reactome_url
R-HSA-9820464,1,GNMT,https://reactome.org/content/detail/R-HSA-9820464
R-HSA-6798317,1,GNMT,https://reactome.org/content/detail/R-HSA-6798317
R-HSA-2408544,1,GNMT,https://reactome.org/content/detail/R-HSA-2408544
R-HSA-2484822,1,CDCA5,https://reactome.org/content/detail/R-HSA-2484822
R-HSA-1638821,1,CDCA5,https://reactome.org/content/detail/R-HSA-1638821
R-HSA-2473151,1,CDCA5,https://reactome.org/content/detail/R-HSA-2473151
R-HSA-2467811,1,CDCA5,https://reactome.org/content/detail/R-HSA-2467811
R-HSA-2468041,1,CDCA5,https://reactome.org/content/detail/R-HSA-2468041
R-HSA-2468287,1,CDCA5,https://reactome.org/content/detail/R-HSA-2468287
R-HSA-2467794,1,CDCA5,https://reactome.org/content/detail/R-HSA-2467794
R-HSA-2468293,1,CDCA5,https://reactome.org/content/detail/R-HSA-2468293
R-HSA-2466068,1,CDCA5,https://reactome.org/content/detail/R-HSA-2466068
R-HSA-2467809,1,CDCA5,https://reactome.org/content/detail/R-HSA-2467809
R-HSA-1638803,1,CDCA5,https://reactome.org/content/detail/R-HSA-1638803
R-HSA-112392,1,CTR9,https://reactome.org/content/detail/R-HSA-112392
R-HSA-418553,1,PDE7A,https://reactome.org/content/detail/R-HSA-418553
R-HSA-4724279,1,RIOX2,https://reactome.org/content/detail/R-HSA-4724279
R-HSA-9630967,1,RIOX2,https://reactome.org/content/detail/R-HSA-9630967
R-HSA-5576895,1,RANGRF,https://reactome.org/content/detail/R-HSA-5576895
R-HSA-212263,1,AEBP2,https://reactome.org/content/detail/R-HSA-212263
R-HSA-212252,1,AEBP2,https://reactome.org/content/detail/R-HSA-212252
R-HSA-5638332,1,AEBP2,https://reactome.org/content/detail/R-HSA-5638332
R-HSA-112379,1,CTR9,https://reactome.org/content/detail/R-HSA-112379
R-HSA-8942101,1,CTR9,https://reactome.org/content/detail/R-HSA-8942101
R-HSA-113412,1,CTR9,https://reactome.org/content/detail/R-HSA-113412
R-HSA-8942099,1,CTR9,https://reactome.org/content/detail/R-HSA-8942099
R-HSA-112385,1,CTR9,https://reactome.org/content/detail/R-HSA-112385
R-HSA-112396,1,CTR9,https://reactome.org/content/detail/R-HSA-112396
R-HSA-5661120,1,RIOX2,https://reactome.org/content/detail/R-HSA-5661120
R-HSA-113413,1,CTR9,https://reactome.org/content/detail/R-HSA-113413
R-HSA-112395,1,CTR9,https://reactome.org/content/detail/R-HSA-112395
R-HSA-9665389,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665389
R-HSA-113414,1,CTR9,https://reactome.org/content/detail/R-HSA-113414
R-HSA-113429,1,CTR9,https://reactome.org/content/detail/R-HSA-113429
R-HSA-113411,1,CTR9,https://reactome.org/content/detail/R-HSA-113411
R-HSA-6802935,1,TRAK1,https://reactome.org/content/detail/R-HSA-6802935
R-HSA-6802933,1,TRAK1,https://reactome.org/content/detail/R-HSA-6802933
R-HSA-9018815,1,TRAK1,https://reactome.org/content/detail/R-HSA-9018815
R-HSA-6802927,1,TRAK1,https://reactome.org/content/detail/R-HSA-6802927
R-HSA-6802934,1,TRAK1,https://reactome.org/content/detail/R-HSA-6802934
R-HSA-6802932,1,TRAK1,https://reactome.org/content/detail/R-HSA-6802932
R-HSA-9018824,1,TRAK1,https://reactome.org/content/detail/R-HSA-9018824
R-HSA-427337,1,MBD2,https://reactome.org/content/detail/R-HSA-427337
R-HSA-73718,1,MBD2,https://reactome.org/content/detail/R-HSA-73718
R-HSA-2396029,1,TGFB3,https://reactome.org/content/detail/R-HSA-2396029
R-HSA-481007,1,TGFB3,https://reactome.org/content/detail/R-HSA-481007
R-HSA-2395328,1,TGFB3,https://reactome.org/content/detail/R-HSA-2395328
R-HSA-2327886,1,TGFB3,https://reactome.org/content/detail/R-HSA-2327886
R-HSA-9665388,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665388
R-HSA-9013145,1,ERBIN,https://reactome.org/content/detail/R-HSA-9013145
R-HSA-9014449,1,ERBIN,https://reactome.org/content/detail/R-HSA-9014449
R-HSA-9665708,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665708
R-HSA-9665696,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665696
R-HSA-9665232,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665232
R-HSA-9665412,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665412
R-HSA-9664567,1,ERBIN,https://reactome.org/content/detail/R-HSA-9664567
R-HSA-9665726,1,ERBIN,https://reactome.org/content/detail/R-HSA-9665726
R-HSA-9013110,1,ERBIN,https://reactome.org/content/detail/R-HSA-9013110
R-HSA-1227964,1,ERBIN,https://reactome.org/content/detail/R-HSA-1227964
