entity_id,label,embedding_value,direction
2606,Protein_KRAS,55834931200.0,positive
2503,Protein_GRB2,5102299648.0,positive
2729,Protein_MYC,4674211328.0,positive
3059,Protein_SHC1,4472394752.0,positive
2840,Protein_PIK3R1,4258601216.0,positive
3127,Protein_STAT1,3689303552.0,positive
2649,Protein_MAPK1,3425980928.0,positive
2334,Protein_CTNNB1,3290457088.0,positive
3100,Protein_SNW1,3098209792.0,positive
2575,Protein_ITGB1,2835699456.0,positive
2990,Protein_RNF4,-2771768320.0,negative
576,Pathway_R-HSA-1295596,-2367629568.0,negative
2406,Protein_EFTUD2,-1503705728.0,negative
1335,Pathway_R-HSA-5674499,-1196511872.0,negative
720,Pathway_R-HSA-171007,-1153752576.0,negative
849,Pathway_R-HSA-202670,-1077006976.0,negative
1930,Pathway_R-HSA-977068,-1063360640.0,negative
1553,Pathway_R-HSA-8851708,-972163136.0,negative
1857,Pathway_R-HSA-9702518,-939476736.0,negative
1220,Pathway_R-HSA-5339700,-927937920.0,negative
