feature,importance
Feature_107,0.11097927346813063
Feature_128,0.07487839729896871
Feature_41,0.05271832813796314
Feature_145,0.04141444415621132
Feature_38,0.03558983655262129
Feature_177,0.024634345674180456
Feature_167,0.013249909029183073
Feature_127,0.013104858079379457
Feature_53,0.012743005188016842
Feature_32,0.011622244740814521
Feature_63,0.009137212661890956
Feature_116,0.00862467504265724
Feature_78,0.007845145794361207
Feature_118,0.006698409648442401
Feature_130,0.0054736796018535075
Feature_73,0.004993129011974411
Feature_160,0.0045641092057000865
Feature_165,0.0025956953109882415
Feature_168,0.002585957575458313
Feature_55,0.002373867710622141
Feature_12,0.0018398663030969955
Feature_17,0.0014702549006005978
Feature_147,0.0013149763194251034
Feature_82,0.0012814360668378466
Feature_44,0.0010637985834240195
Feature_105,0.0006856909035144987
Feature_59,0.00068069243375574
Feature_49,0.0003551365749590206
Feature_1,0.00030403860067476646
Feature_57,0.00030274567785404654
Feature_132,0.00027038062908355117
Feature_47,0.00025525565466165623
Feature_119,0.0002366783419964651
Feature_187,0.00019944538961888273
Feature_140,0.0
Feature_148,0.0
Feature_141,0.0
Feature_142,0.0
Feature_143,0.0
Feature_144,0.0
Feature_112,0.0
Feature_146,0.0
Feature_139,0.0
Feature_136,0.0
Feature_138,0.0
Feature_137,0.0
Feature_120,0.0
Feature_121,0.0
Feature_122,0.0
Feature_123,0.0
