feature,importance
Feature_63,0.09565691915240228
Feature_93,0.07720944931794575
Feature_26,0.07145811946622836
Feature_12,0.05723304657659938
Feature_20,0.05465376234198177
Feature_31,0.05044498578270701
Feature_5,0.034578341359430644
Feature_25,0.0271451268886918
Feature_83,0.016910317906915905
Feature_33,0.015413622330762556
Feature_1,0.009219185260286306
Feature_67,0.006594787844523899
Feature_62,0.0053403245197612866
Feature_30,0.002655588115845841
Feature_74,0.002528510956739228
Feature_9,0.001011017257101789
Feature_44,0.0009069323483644097
Feature_8,0.0008420865783792738
Feature_58,0.0006947906892441715
Feature_21,0.0006065282915690821
Feature_56,0.00023988145696165106
Feature_15,0.00021432653873084315
Feature_73,0.0
Feature_72,0.0
Feature_71,0.0
Feature_68,0.0
Feature_70,0.0
Feature_69,0.0
Feature_76,0.0
Feature_66,0.0
Feature_65,0.0
Feature_64,0.0
Feature_61,0.0
Feature_60,0.0
Feature_59,0.0
Feature_75,0.0
Feature_0,0.0
Feature_77,0.0
Feature_78,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_94,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
