feature,mapped_feature
Feature_73,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_63,Protein_STAT1; Protein_FYN; Pathway_R-HSA-1295596
Feature_83,Protein_NXF1; Protein_FYN; Protein_SHC1
Feature_8,Protein_KRAS; Protein_MYC; Protein_MAPK1
Feature_68,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_4,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_31,Protein_KRAS; Protein_ITM2B; Protein_BARD1
Feature_95,Protein_KRAS; Protein_GRB2; Protein_MYC
Feature_15,Protein_KRAS; Protein_GRB2; Protein_CTNNB1
Feature_46,Protein_KRAS; Protein_GRB2; Protein_BARD1
Feature_22,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_20,Protein_MAPK1; Protein_RPA2; Protein_KRAS
Feature_81,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_71,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_82,Protein_KRAS; Protein_FYN; Protein_MYC
Feature_99,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_0,Protein_KRAS; Protein_MYC; Protein_GRB2
Feature_61,Protein_GRB2; Protein_PIK3R1; Protein_CTNNB1
Feature_29,Protein_KRAS; Protein_CTNNB1; Protein_STAT1
Feature_12,Protein_KRAS; Protein_GRB2; Protein_RNF4
Feature_76,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_16,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_26,Protein_KRAS; Protein_GRB2; Protein_MAPK1
Feature_60,Protein_KRAS; Protein_MYC; Protein_GRB2
Feature_3,Protein_KRAS; Protein_GRB2; Protein_GABPA
Feature_72,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_11,Protein_KRAS; Protein_GRB2; Protein_MYC
Feature_36,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_94,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_66,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_87,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_62,Protein_KRAS; Protein_RNF4; Protein_MYC
Feature_58,Protein_KRAS; Protein_PIK3R1; Protein_GRB2
Feature_69,Protein_KRAS; Protein_STAT1; Protein_MAPK1
Feature_33,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_28,Protein_KRAS; Protein_GRB2; Protein_RNF4
Feature_56,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_44,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_93,Protein_SPSB1; Protein_RNF4; Protein_STXBP3
Feature_77,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_67,Protein_KRAS; Protein_PIK3R1; Protein_STAT1
Feature_7,Protein_KRAS; Protein_NRG1; Protein_RANBP9
Feature_42,Protein_KRAS; Protein_MYC; Protein_GRB2
Feature_32,Protein_KRAS; Protein_GRB2; Protein_CTNNB1
Feature_25,Protein_KRAS; Protein_MYC; Protein_MAPK1
Feature_9,Protein_MYC; Protein_RNF4; Protein_SHC1
Feature_40,Protein_KRAS; Protein_MYC; Protein_GRB2
Feature_39,Protein_KRAS; Protein_MYC; Protein_RNF4
Feature_78,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_10,Protein_KRAS; Protein_PIK3R1; Protein_CTNNB1
Feature_91,Protein_KRAS; Protein_MYC; Protein_NRG1
Feature_43,Protein_GRB2; Protein_KRAS; Protein_MAPK1
Feature_6,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_51,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_70,Protein_GRB2; Protein_PIK3R1; Protein_CTNNB1
Feature_1,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_54,Protein_KRAS; Protein_GRB2; Protein_MAPK1
Feature_64,Protein_KRAS; Protein_ITM2B; GO_0030099_instance
Feature_35,Protein_KRAS; Protein_FYN; Protein_RNF4
Feature_50,Protein_KRAS; Protein_CTNNB1; Protein_FYN
Feature_23,Protein_GRB2; Protein_KRAS; Protein_MAPK1
Feature_53,Protein_GABPA; Protein_ITM2B; Protein_SPSB1
Feature_65,Protein_KRAS; Protein_GRB2; Protein_MYC
Feature_21,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_30,Protein_GRB2; Protein_PIK3R1; Protein_CTNNB1
Feature_59,Protein_KRAS; Protein_GRB2; Protein_SHC1
Feature_92,Protein_KRAS; Protein_GRB2; Protein_FYN
Feature_24,Protein_GRB2; Protein_STAT1; Protein_H4C3
Feature_75,Protein_KRAS; Protein_RNF4; Protein_EFTUD2
Feature_27,Protein_KRAS; Protein_MYC; Protein_PIK3R1
Feature_90,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_86,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_14,Protein_KRAS; Protein_GRB2; Protein_PIK3R1
Feature_17,Protein_KRAS; Protein_GRB2; Protein_FYN
