model_type,dataset,test_accuracy,top_1,top_1_importance,top_2,top_3,top_4,top_5
random_forest,Complex_protein_embeddings,0.7878787878787878,Feature_71,0.0243170689019177,Feature_130,Feature_73,Feature_105,Feature_31
random_forest,Complex_sample_embeddings,0.7878787878787878,Feature_15,0.0135948090991908,Feature_31,Feature_72,Feature_58,Feature_11
random_forest,RGCN_protein_embeddings,0.7878787878787878,Feature_31,0.0342987963662165,Feature_62,Feature_33,Feature_67,Feature_26
random_forest,RGCN_sample_embeddings,0.8484848484848485,Feature_82,0.0191962872530716,Feature_83,Feature_43,Feature_81,Feature_61
random_forest,concatenated_protein_embeddings,0.8484848484848485,Feature_260,0.0330653371397362,Feature_282,Feature_104,Feature_277,Feature_240
random_forest,concatenated_sample_embeddings,0.7878787878787878,Feature_83,0.0128183480992379,Feature_28,Feature_87,Feature_29,Feature_25
random_forest,gene_expression,0.7878787878787878,Feature_2508,0.0155187044901726,Feature_10738,Feature_3401,Feature_3122,Feature_24589
sklearn_mlp,Complex_protein_embeddings,0.8787878787878788,Feature_105,0.0283557550663613,Feature_127,Feature_76,Feature_131,Feature_187
sklearn_mlp,Complex_sample_embeddings,0.7575757575757576,Feature_68,0.0204527739229306,Feature_167,Feature_150,Feature_166,Feature_95
sklearn_mlp,RGCN_protein_embeddings,0.7878787878787878,Feature_16,0.0021244423658825,Feature_95,Feature_73,Feature_22,Feature_76
sklearn_mlp,RGCN_sample_embeddings,0.7878787878787878,Feature_0,0.0,Feature_63,Feature_73,Feature_72,Feature_71
sklearn_mlp,concatenated_sample_embeddings,0.7878787878787878,Feature_20,0.0638173679360054,Feature_36,Feature_7,Feature_22,Feature_39
svm,Complex_protein_embeddings,0.7272727272727273,Feature_73,0.6182701896612581,Feature_133,Feature_149,Feature_87,Feature_75
svm,Complex_sample_embeddings,0.7878787878787878,Feature_68,0.0065667375496268,Feature_140,Feature_116,Feature_11,Feature_94
svm,RGCN_protein_embeddings,0.7272727272727273,Feature_4,40415787471942.44,Feature_99,Feature_95,Feature_56,Feature_44
svm,RGCN_sample_embeddings,0.8484848484848485,Feature_8,0.0238957470932237,Feature_46,Feature_22,Feature_3,Feature_60
svm,concatenated_protein_embeddings,0.7272727272727273,Feature_4,39638397478453.92,Feature_99,Feature_95,Feature_56,Feature_44
svm,concatenated_sample_embeddings,0.8484848484848485,Feature_8,0.0253309686193779,Feature_22,Feature_46,Feature_3,Feature_60
xgboost,Complex_protein_embeddings,0.6363636363636364,Feature_73,0.0792482684673147,Feature_66,Feature_160,Feature_31,Feature_30
xgboost,Complex_sample_embeddings,0.7878787878787878,Feature_140,0.0192454369659267,Feature_15,Feature_199,Feature_95,Feature_58
xgboost,RGCN_protein_embeddings,0.7878787878787878,Feature_63,0.1087469014526539,Feature_12,Feature_26,Feature_93,Feature_8
xgboost,RGCN_sample_embeddings,0.8484848484848485,Feature_81,0.0744144456869474,Feature_63,Feature_46,Feature_69,Feature_51
xgboost,concatenated_protein_embeddings,0.6666666666666666,Feature_173,0.1108422665869533,Feature_260,Feature_166,Feature_63,Feature_277
xgboost,concatenated_sample_embeddings,0.8787878787878788,Feature_83,0.0210017719353019,Feature_29,Feature_61,Feature_63,Feature_10
