feature,importance
Feature_0,0.0
Feature_63,0.0
Feature_73,0.0
Feature_72,0.0
Feature_71,0.0
Feature_70,0.0
Feature_69,0.0
Feature_68,0.0
Feature_67,0.0
Feature_66,0.0
Feature_65,0.0
Feature_64,0.0
Feature_62,0.0
Feature_1,0.0
Feature_61,0.0
Feature_60,0.0
Feature_59,0.0
Feature_58,0.0
Feature_57,0.0
Feature_56,0.0
Feature_55,0.0
Feature_54,0.0
Feature_53,0.0
Feature_52,0.0
Feature_74,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_94,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
Feature_86,0.0
Feature_85,0.0
Feature_84,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_80,0.0
Feature_79,0.0
Feature_78,0.0
Feature_51,0.0
