feature,importance
Feature_20,0.06381736793600544
Feature_36,0.04347578730602503
Feature_7,0.034623004251001496
Feature_22,0.029763550029312955
Feature_39,0.028518235843984645
Feature_46,0.02366769249867484
Feature_61,0.01613696450730726
Feature_35,0.015400139335659306
Feature_3,0.010542837405039567
Feature_99,0.01027811754113346
Feature_60,0.010260623636373872
Feature_9,0.009889058325821534
Feature_54,0.007788360485758059
Feature_32,0.006128540063068959
Feature_10,0.005689516715448083
Feature_77,0.0051803047339392715
Feature_15,0.004623401745310913
Feature_98,0.004570858419168874
Feature_87,0.004557096229011836
Feature_44,0.0042497924037754485
Feature_86,0.0035746604389069875
Feature_82,0.003087410002962904
Feature_50,0.002992192185023427
Feature_8,0.0029513446929357204
Feature_11,0.0029357240532201494
Feature_21,0.002930059893746513
Feature_13,0.002844832347458679
Feature_38,0.0018213702688081113
Feature_88,0.0018165067344651333
Feature_29,0.0016972204736183652
Feature_24,0.0016395226587081037
Feature_79,0.001530411748101574
Feature_5,0.0014700051112850924
Feature_71,0.0014689881963073216
Feature_65,0.0011559539446895312
Feature_16,0.000973677475307327
Feature_40,0.0009513909576065178
Feature_59,0.0008683378548727288
Feature_23,0.0008616157028727897
Feature_45,0.0006667772573865054
Feature_68,0.0005725786145406224
Feature_94,0.0005634666106033167
Feature_6,0.0005083514209026299
Feature_64,0.0005078317787308063
Feature_48,0.00048670813603481804
Feature_159,0.000378697383973968
Feature_213,0.0003645012764627249
Feature_70,0.00032854725084043344
Feature_237,0.0003099653918677523
Feature_73,0.00025516650788963365
