feature,importance
Feature_8,0.023895747093223788
Feature_46,0.02004354081690596
Feature_22,0.019807293892315114
Feature_3,0.018984584725408628
Feature_60,0.018201617058638667
Feature_9,0.016130767373436137
Feature_20,0.013191276455558728
Feature_94,0.012146746110988826
Feature_99,0.009519856582473485
Feature_40,0.009222657122284872
Feature_71,0.006202466016935719
Feature_44,0.00519533261994425
Feature_23,0.0033617603774752152
Feature_21,0.0005207340449093075
Feature_32,0.0004989675804819118
Feature_95,0.0004868404264752831
Feature_54,0.00043146591258960275
Feature_15,0.0003399424125727055
Feature_24,0.00027504957881920494
Feature_77,0.00017918481242873495
Feature_36,0.00015571779702648142
Feature_76,0.00015225355902009658
Feature_7,0.00012751726076601648
Feature_83,0.0001238174522477554
Feature_70,5.809002359097711e-05
Feature_82,2.2285598200935456e-05
Feature_30,1.9334054856769285e-05
Feature_52,1.921730012556211e-05
Feature_1,1.7368927221690457e-05
Feature_58,9.316902760133319e-06
Feature_84,0.0
Feature_93,0.0
Feature_62,0.0
Feature_63,0.0
Feature_64,0.0
Feature_98,0.0
Feature_65,0.0
Feature_66,0.0
Feature_67,0.0
Feature_68,0.0
Feature_69,0.0
Feature_97,0.0
Feature_96,0.0
Feature_92,0.0
Feature_85,0.0
Feature_72,0.0
Feature_73,0.0
Feature_91,0.0
Feature_74,0.0
Feature_75,0.0
