feature,importance
Feature_4,39638397478453.92
Feature_99,36724983621150.74
Feature_95,29019570953281.82
Feature_56,15153851452272.143
Feature_44,12426880742984.97
Feature_26,12107434494707.82
Feature_33,10467673642374.31
Feature_14,10354574763728.97
Feature_76,5754023320195.796
Feature_86,5253289941658.12
Feature_78,4887655250341.199
Feature_54,4245898650167.137
Feature_40,4056575652854.159
Feature_8,3787172799051.268
Feature_90,3328323372269.0923
Feature_77,3266466948045.5376
Feature_11,3250274934550.2734
Feature_81,2775528564080.018
Feature_18,2679902326850.8726
Feature_98,2481114600257.13
Feature_51,2381356010072.587
Feature_69,1922472426578.6953
Feature_42,1827524089012.1528
Feature_93,1757685462667.0234
Feature_0,1553417233873.951
Feature_34,1495516372181.8372
Feature_17,1365886943818.7454
Feature_55,1219990459614.3252
Feature_67,826328402228.4436
Feature_32,563314716059.6781
Feature_5,496356064484.11383
Feature_66,463103763311.871
Feature_39,346639718363.26306
Feature_13,338631039634.8964
Feature_10,259612881080.7214
Feature_48,257405932861.66678
Feature_25,176072038047.01392
Feature_47,98740582304.55202
Feature_23,35543649700.58488
Feature_80,19538489099.209576
Feature_219,0.0
Feature_216,0.0
Feature_233,0.0
Feature_211,0.0
Feature_232,0.0
Feature_212,0.0
Feature_213,0.0
Feature_214,0.0
Feature_210,0.0
Feature_231,0.0
