feature,importance
Feature_63,0.10874690145265395
Feature_12,0.10487830920503725
Feature_26,0.06488732832781063
Feature_93,0.04473524037817567
Feature_8,0.030792915206866948
Feature_20,0.03005812287533985
Feature_33,0.018636689338796312
Feature_31,0.018377440737145766
Feature_91,0.013835207922603161
Feature_94,0.008249174389768896
Feature_50,0.006599880749083768
Feature_6,0.00431716459086036
Feature_32,0.0038965951502103148
Feature_15,0.0013096433152160099
Feature_25,0.0005956528643034265
Feature_67,0.0004881576978708184
Feature_56,0.0003046813770526772
Feature_66,0.00020674801076584683
Feature_18,0.00017181609621532836
Feature_74,8.990869661662199e-05
Feature_61,0.0
Feature_58,0.0
Feature_59,0.0
Feature_60,0.0
Feature_73,0.0
Feature_72,0.0
Feature_62,0.0
Feature_76,0.0
Feature_64,0.0
Feature_71,0.0
Feature_70,0.0
Feature_69,0.0
Feature_68,0.0
Feature_65,0.0
Feature_75,0.0
Feature_81,0.0
Feature_77,0.0
Feature_88,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_92,0.0
Feature_90,0.0
Feature_89,0.0
Feature_87,0.0
Feature_78,0.0
Feature_86,0.0
Feature_85,0.0
Feature_84,0.0
