feature,importance
Feature_173,0.11084226658695337
Feature_260,0.05592240421835648
Feature_166,0.03642484680877523
Feature_63,0.029581046545796182
Feature_277,0.024078609724885982
Feature_207,0.023573073590964572
Feature_117,0.014643331215169126
Feature_104,0.013987082518453738
Feature_208,0.012140967657066157
Feature_240,0.011050834593759457
Feature_101,0.010564480910822231
Feature_164,0.009736388922540395
Feature_131,0.00907293117129574
Feature_159,0.008995848376339587
Feature_103,0.005131575349320931
Feature_6,0.0048880574437668006
Feature_225,0.003943691571141077
Feature_178,0.001035535869998659
Feature_269,0.0010216414412752128
Feature_8,0.0008896085788051866
Feature_205,0.0007744592375005786
Feature_210,0.0005100341979077917
Feature_150,0.0005041370197944009
Feature_17,0.0002178854308867421
Feature_233,0.00018873807098031397
Feature_187,0.0001494345373479237
Feature_209,0.0
Feature_218,0.0
Feature_197,0.0
Feature_198,0.0
Feature_199,0.0
Feature_220,0.0
Feature_219,0.0
Feature_200,0.0
Feature_201,0.0
Feature_202,0.0
Feature_203,0.0
Feature_217,0.0
Feature_195,0.0
Feature_216,0.0
Feature_215,0.0
Feature_204,0.0
Feature_214,0.0
Feature_206,0.0
Feature_213,0.0
Feature_212,0.0
Feature_211,0.0
Feature_196,0.0
Feature_190,0.0
Feature_194,0.0
