feature,importance
Feature_83,0.021001771935301995
Feature_29,0.013484302969368926
Feature_61,0.01329059585275445
Feature_63,0.006303291092640125
Feature_10,0.004220542648962278
Feature_265,0.004124522083518118
Feature_240,0.0038568061733770076
Feature_261,0.0024547090253239576
Feature_46,0.0021361279747569854
Feature_104,0.0020604991015388116
Feature_69,0.001958780491281446
Feature_177,0.001772603367806307
Feature_178,0.0015317832310594076
Feature_82,0.0010652594679835946
Feature_1,0.0008028966608373736
Feature_115,0.000698164274059181
Feature_158,0.0006468726358773198
Feature_299,0.0004599981967120725
Feature_68,0.00038490138418084045
Feature_151,0.0003054794931073738
Feature_222,0.00026963701940566347
Feature_146,0.00022879145579040352
Feature_11,0.00015428467962774802
Feature_278,0.00012611702392922945
Feature_238,0.00012073085771200682
Feature_292,0.00011219460391382336
Feature_88,0.0001029367592853956
Feature_9,0.00010016898278010142
Feature_298,5.171766719739772e-05
Feature_159,3.248782360238641e-05
Feature_167,2.986389402337632e-05
Feature_235,2.4133644215936605e-05
Feature_201,0.0
Feature_200,0.0
Feature_199,0.0
Feature_295,0.0
Feature_198,0.0
Feature_197,0.0
Feature_202,0.0
Feature_196,0.0
Feature_203,0.0
Feature_204,0.0
Feature_208,0.0
Feature_205,0.0
Feature_206,0.0
Feature_207,0.0
Feature_194,0.0
Feature_294,0.0
Feature_209,0.0
Feature_210,0.0
