node_id,node_type,node_category,hasGroupId,hasGender,hasAge,hasSeverity,hasSiteOfInfection,hasDiseaseStatus,hasTissue,hasGroupDay,hasNeutrophilProportion,hasTypeRegulation,hasPValue,hasLog2_FC,hasName,hasDescription,hasID,hasURI,normalized_label,short_label
Protein_AASDHPPT,Protein,Gene/Protein,,,,,,,,,,No change,0.0033190344107066,-0.064103078581585,,,,,AASDHPPT,AASDHPPT
GO_0005737_instance,GO_0005737,GO Term,,,,,,,,,,,,,,,,,GO:0005737_instance,GO:0005737_instance
GO_0110165_instance,GO_0110165,GO Term,,,,,,,,,,,,,,,,,GO:0110165_instance,GO:0110165_instance
GO_0005622_instance,GO_0005622,GO Term,,,,,,,,,,,,,,,,,GO:0005622_instance,GO:0005622_instance
GO_0005515_instance,GO_0005515,GO Term,,,,,,,,,,,,,,,,,GO:0005515_instance,GO:0005515_instance
GO_0005488_instance,GO_0005488,GO Term,,,,,,,,,,,,,,,,,GO:0005488_instance,GO:0005488_instance
GO_0005829_instance,GO_0005829,GO Term,,,,,,,,,,,,,,,,,GO:0005829_instance,GO:0005829_instance
GO_0043227_instance,GO_0043227,GO Term,,,,,,,,,,,,,,,,,GO:0043227_instance,GO:0043227_instance
GO_0043226_instance,GO_0043226,GO Term,,,,,,,,,,,,,,,,,GO:0043226_instance,GO:0043226_instance
GO_0016020_instance,GO_0016020,GO Term,,,,,,,,,,,,,,,,,GO:0016020_instance,GO:0016020_instance
GO_0003674_instance,GO_0003674,GO Term,,,,,,,,,,,,,,,,,GO:0003674_instance,GO:0003674_instance
GO_0019538_instance,GO_0019538,GO Term,,,,,,,,,,,,,,,,,GO:0019538_instance,GO:0019538_instance
GO_0044238_instance,GO_0044238,GO Term,,,,,,,,,,,,,,,,,GO:0044238_instance,GO:0044238_instance
GO_0043170_instance,GO_0043170,GO Term,,,,,,,,,,,,,,,,,GO:0043170_instance,GO:0043170_instance
GO_0009056_instance,GO_0009056,GO Term,,,,,,,,,,,,,,,,,GO:0009056_instance,GO:0009056_instance
GO_0008152_instance,GO_0008152,GO Term,,,,,,,,,,,,,,,,,GO:0008152_instance,GO:0008152_instance
GO_0031982_instance,GO_0031982,GO Term,,,,,,,,,,,,,,,,,GO:0031982_instance,GO:0031982_instance
GO_0003824_instance,GO_0003824,GO Term,,,,,,,,,,,,,,,,,GO:0003824_instance,GO:0003824_instance
GO_0005575_instance,GO_0005575,GO Term,,,,,,,,,,,,,,,,,GO:0005575_instance,GO:0005575_instance
GO_0070062_instance,GO_0070062,GO Term,,,,,,,,,,,,,,,,,GO:0070062_instance,GO:0070062_instance
GO_1903561_instance,GO_1903561,GO Term,,,,,,,,,,,,,,,,,GO:1903561_instance,GO:1903561_instance
GO_0005615_instance,GO_0005615,GO Term,,,,,,,,,,,,,,,,,GO:0005615_instance,GO:0005615_instance
GO_0065010_instance,GO_0065010,GO Term,,,,,,,,,,,,,,,,,GO:0065010_instance,GO:0065010_instance
GO_0043230_instance,GO_0043230,GO Term,,,,,,,,,,,,,,,,,GO:0043230_instance,GO:0043230_instance
GO_0005576_instance,GO_0005576,GO Term,,,,,,,,,,,,,,,,,GO:0005576_instance,GO:0005576_instance
GO_0009987_instance,GO_0009987,GO Term,,,,,,,,,,,,,,,,,GO:0009987_instance,GO:0009987_instance
