"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01100","Metabolic pathways",112,0.580086480167561,2.63116013264734,1e-10,1.42e-08,1.03157894736842e-08,368,"tags=61%, list=29%, signal=47%","4351/4967/84706/84532/57704/2990/4124/25902/4830/3099/29956/51079/79717/1347/29796/51727/56913/2597/7841/2053/51/60496/4259/126328/37/64781/18/4713/2618/51005/4245/2180/10327/9107/1329/55862/4729/6392/1738/27232/10135/3417/22908/7167/4731/54344/3028/10555/4548/8802/5315/138199/847/521/7388/7384/204/1337/6319/9588/50484/126792/8801/51111/8875/10606/27089/1120"
"hsa03083","Polycomb repressive complex",12,-0.848794802734903,-2.28973801079301,1.44741959952507e-06,0.00010276679156628,7.46563793439244e-05,120,"tags=67%, list=9%, signal=61%","7323/7321/5252/9212/4149/83746/7528/84108"
"hsa04120","Ubiquitin mediated proteolysis",12,-0.83964959121845,-2.26506757412387,3.16916608347161e-06,0.000150007194617656,0.000108974833747445,204,"tags=92%, list=16%, signal=78%","64326/6477/7323/7321/7326/8451/246184/11065/6502/55284/7317"
"hsa04932","Non-alcoholic fatty liver disease",24,0.685914886687056,2.27008189207453,6.63981800461912e-06,0.000235713539163979,0.000171237411698072,231,"tags=71%, list=18%, signal=59%","51422/51079/1347/29796/841/637/5295/126328/4296/4713/79602/1329/4729/6392/581/4731/3953"
"hsa03040","Spliceosome",30,-0.644213691744856,-2.20305885560228,1.40147455364528e-05,0.000398018773235259,0.000289146328962605,289,"tags=60%, list=23%, signal=48%","8896/7307/23451/83443/6631/8559/7919/9343/11157/22985/25949/79753/3183/988/9416/10285/26121/57461"
"hsa04110","Cell cycle",21,-0.677314272832081,-2.15397656123355,9.96416150128556e-05,0.00235818488863758,0.00171313653881752,136,"tags=62%, list=11%, signal=56%","4173/4176/5934/9212/1027/246184/9088/902/8556/8243/113130/6502/5885"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",26,0.627752494137152,2.10460756654924,0.000132364683628284,0.00268511215360233,0.00195063744294313,332,"tags=73%, list=26%, signal=55%","51079/1347/29796/2053/4259/5295/126328/4713/10327/1329/4729/6392/4731/2885/847/7388/5170/7384/1337"
"hsa01200","Carbon metabolism",16,0.714206398327154,2.14085946918262,0.000250893868821481,0.00439158441364509,0.00319032818782223,275,"tags=81%, list=21%, signal=65%","4967/84706/84532/3099/2597/51/6392/1738/3417/7167/8802/5315/847"
"hsa01240","Biosynthesis of cofactors",13,0.73093713707187,2.03805605927786,0.000340193158803493,0.00439158441364509,0.00319032818782223,172,"tags=62%, list=13%, signal=54%","4351/2990/25902/4830/79717/51727/10327/1738"
"hsa05160","Hepatitis C",22,0.620251290730719,2.01285487433429,0.000291143693609171,0.00439158441364509,0.00319032818782223,323,"tags=59%, list=25%, signal=45%","8737/9641/10971/841/637/5295/3665/581/5521/6772/2885/5610/6773"
"hsa04622","RIG-I-like receptor signaling pathway",11,0.763494611179994,2.00761913856501,0.000339211034517501,0.00439158441364509,0.00319032818782223,137,"tags=64%, list=11%, signal=57%","9474/9636/8737/9641/841/10010/3665"
"hsa04140","Autophagy - animal",22,0.599289737825545,1.94482992288422,0.00077867771039977,0.00921435290639728,0.00669389610694539,316,"tags=55%, list=25%, signal=42%","8678/9474/64422/8417/11345/5295/10010/64689/57617/6199/60673/5170"
"hsa05152","Tuberculosis",16,0.676565448279812,2.02802936219026,0.00118087605927203,0.0128988000320484,0.00937051447843396,286,"tags=75%, list=22%, signal=59%","2214/3112/841/637/7043/581/2215/5530/5868/2212/6772/7096"
"hsa04217","Necroptosis",17,0.635389518575814,1.92304371487888,0.00191471682628099,0.0194206992379929,0.0141084397725967,408,"tags=88%, list=32%, signal=61%","8737/841/637/6776/581/5119/55072/6772/25978/5610/2495/6773/57132/27183/3146"
"hsa04210","Apoptosis",20,0.59662676155038,1.89822645907571,0.00233551594576655,0.020038567196719,0.014557298630678,179,"tags=50%, list=14%, signal=44%","5366/8737/839/4170/55367/841/637/5295/1522/581"
"hsa04936","Alcoholic liver disease",14,0.653108761461142,1.86255081836184,0.00239745086485538,0.020038567196719,0.014557298630678,166,"tags=57%, list=13%, signal=50%","51422/8737/9641/51/841/37/79602/23118"
"hsa03010","Ribosome",24,-0.563347206928878,-1.85473912117914,0.00268121673758917,0.020038567196719,0.014557298630678,333,"tags=62%, list=26%, signal=47%","51069/6189/51264/64960/64928/6183/65003/128308/64432/64951/219927/10573/9801/64969/116541"
"hsa04270","Vascular smooth muscle contraction",10,-0.711936153734515,-1.83716392724316,0.00265933334617477,0.020038567196719,0.014557298630678,273,"tags=70%, list=21%, signal=56%","135/5579/10672/5500/4659/6093/9138"
"hsa05014","Amyotrophic lateral sclerosis",41,0.454512185315993,1.74014028282718,0.00262392372501573,0.020038567196719,0.014557298630678,366,"tags=61%, list=29%, signal=45%","8678/51079/1347/29796/637/126328/10010/4713/1329/4729/6392/581/10671/4731/5530/71/5868/847/25978/60673/7388/7384/1337/10762/27089"
"hsa00190","Oxidative phosphorylation",16,0.641414720544737,1.92266378650155,0.00364419786852812,0.0258738048665497,0.0187963890060924,366,"tags=88%, list=29%, signal=63%","51079/1347/29796/126328/4713/1329/4729/6392/4731/521/7388/7384/1337/27089"
"hsa04714","Thermogenesis",28,0.525321533522165,1.80571394829122,0.00419483084501638,0.0283650466663012,0.020606186607098,332,"tags=64%, list=26%, signal=49%","51422/51079/1347/29796/126328/4713/2180/1329/4729/6392/4731/6199/71/2885/521/7388/7384/1337"
"hsa05010","Alzheimer disease",43,0.433463776913929,1.6690192093746,0.00513239157043223,0.0331272546818808,0.0240657595168593,332,"tags=53%, list=26%, signal=41%","8678/5664/51079/1347/29796/2597/841/637/5295/126328/4713/1329/4729/6392/4731/5530/3028/60673/5610/7388/7384/1452/1337"
"hsa05022","Pathways of neurodegeneration - multiple diseases",47,0.413959730525775,1.63187772669995,0.00707183304556348,0.043660882281305,0.0317180612569895,332,"tags=60%, list=26%, signal=46%","8678/5664/51079/1347/6310/29796/841/637/126328/10010/4713/1329/4729/6392/581/10671/4731/5530/3028/5868/847/25978/60673/5621/7388/7384/1452/1337"
"hsa05161","Hepatitis B",22,0.529189877004439,1.71734011568416,0.00774443703426945,0.0439884023546505,0.0319559928150908,265,"tags=55%, list=21%, signal=44%","9641/10971/841/637/5295/6776/3665/7043/23118/581/6772/2885"
"hsa05415","Diabetic cardiomyopathy",22,0.529103582061347,1.71706006919425,0.00774443703426945,0.0439884023546505,0.0319559928150908,366,"tags=77%, list=29%, signal=56%","51079/1347/29796/2597/5295/126328/4713/7043/1329/4729/6392/4731/7388/7384/1337/51660/27089"
