"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03040","Spliceosome",30,0.693137642144862,2.3224413618549,3.60697425880555e-07,5.12190344750388e-05,4.40430541075204e-05,274,"tags=70%, list=21%, signal=56%","56259/26121/79753/79228/7919/23451/10285/6426/25949/8559/7307/22916/3183/6631/988/6625/9343/8896/57187/7536/10286"
"hsa05016","Huntington disease",34,-0.579338727827029,-2.10038172152268,3.28517956235949e-05,0.00233247748927524,0.00200568857491422,239,"tags=56%, list=19%, signal=47%","126328/7186/4731/29796/60673/11047/1213/1347/4713/5706/1639/27089/4729/7388/1337/51079/5693/84516/10671"
"hsa05014","Amyotrophic lateral sclerosis",41,-0.500430081773768,-1.93407602163172,0.000462210266395007,0.0164084644570227,0.0141095765531107,239,"tags=51%, list=19%, signal=43%","25978/126328/7186/4731/29796/60673/60/11047/1347/4713/5706/1639/27089/4729/7388/1337/51079/71/5693/84516/10671"
"hsa05010","Alzheimer disease",43,-0.49056960096341,-1.92530234082368,0.000366321909694855,0.0164084644570227,0.0141095765531107,364,"tags=58%, list=28%, signal=43%","5743/25800/7277/1329/5530/808/126328/7186/4731/51107/29796/60673/11047/1347/10313/4713/57142/5706/27089/4729/7388/1337/51079/5693/8883"
"hsa05145","Toxoplasmosis",10,0.758849621514262,1.90610931924036,0.00115407562910642,0.0234112484761588,0.0201312440565932,24,"tags=20%, list=2%, signal=20%","7043/1234"
"hsa04110","Cell cycle",21,0.614368103577493,1.88624601199338,0.00105480194773135,0.0234112484761588,0.0201312440565932,317,"tags=62%, list=25%, signal=47%","7043/9088/4176/4089/9212/246184/5885/1027/4173/4171/9232/4609/10971"
"hsa05022","Pathways of neurodegeneration - multiple diseases",47,-0.456479562479297,-1.81487820836183,0.00103824751728481,0.0234112484761588,0.0201312440565932,364,"tags=55%, list=28%, signal=41%","5743/581/7277/1329/5530/808/25978/126328/7186/4731/29796/60673/11047/5579/1347/4713/5706/1639/27089/4729/7388/1337/51079/5693/84516/10671"
"hsa04260","Cardiac muscle contraction",10,-0.722702818104102,-1.887158750377,0.00210188138233946,0.0373083945365254,0.0320813474146549,180,"tags=60%, list=14%, signal=52%","29796/476/1347/27089/7388/1337"
"hsa05012","Parkinson disease",25,-0.542902318141276,-1.81355739652264,0.00246708444457543,0.0385055341106892,0.0331107632085986,360,"tags=72%, list=28%, signal=53%","581/25800/7277/1329/808/126328/4731/29796/11047/1347/4713/5706/27089/4729/7388/1337/51079/5693"
"hsa05163","Human cytomegalovirus infection",32,0.519046688521727,1.75219630401705,0.00271165733173868,0.0385055341106892,0.0331107632085986,237,"tags=44%, list=18%, signal=37%","10672/1234/811/6009/567/6093/2790/54331/6199/64764/5734/2185/2793/637"
"hsa05020","Prion disease",28,-0.518821170343138,-1.80981927254832,0.0032278638326537,0.0416687876578932,0.0358308329749119,239,"tags=68%, list=19%, signal=56%","5621/581/7277/1329/5530/126328/4731/29796/11047/1347/4713/5706/27089/4689/4729/7388/1337/51079/5693"
"hsa04932","Non-alcoholic fatty liver disease",24,-0.540118422982767,-1.77529561361931,0.00372547256024141,0.0440847586295233,0.0379083172796494,239,"tags=54%, list=19%, signal=45%","126328/7186/4731/29796/1347/4713/998/27089/4729/4296/7388/1337/51079"
"hsa05132","Salmonella infection",33,-0.467885052177671,-1.68515548266373,0.00406791785498271,0.0444341796467343,0.0382087830913356,288,"tags=42%, list=22%, signal=34%","27072/1785/929/7186/60/51143/998/1639/23265/5585/71/8677/84516/10671"
