model,input,normalization,version,balanced_accuracy,precision,recall,f1,mcc,auroc,auprc,brier
pytorch_mlp,Complex_protein_embeddings,log1p,v2.10,0.5,0.6204081632653061,0.8,0.6988505747126437,0.0,0.6447368421052632,0.8552172350919214,0.21628914837916285
pytorch_mlp,Complex_protein_embeddings,log1p,v2.11,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.6139952153110049,0.850789383058095,0.19883982567018874
pytorch_mlp,Complex_protein_embeddings,minmax,v2.10,0.5,0.6204081632653061,0.8,0.6988505747126437,0.0,0.6787081339712919,0.877656797826622,0.21601580696876493
pytorch_mlp,Complex_protein_embeddings,minmax,v2.11,0.5,0.6204081632653061,0.8,0.6988505747126437,0.0,0.6476076555023924,0.8750098277607702,0.21403083186694388
pytorch_mlp,Complex_protein_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.7485645933014353,0.9092444583933688,0.1957703286471279
pytorch_mlp,Complex_protein_embeddings,none,v2.11,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.6892344497607656,0.8806250460978443,0.20039392596487504
pytorch_mlp,Complex_protein_embeddings,robust,v2.10,0.5284688995215311,0.78644610911077,0.9842105263157894,0.8738951672623072,0.08693284303250481,0.7598086124401914,0.8888272201715519,0.15999581522086828
pytorch_mlp,Complex_protein_embeddings,robust,v2.11,0.5485645933014354,0.7936312539200078,0.9789473684210526,0.8762016915248143,0.19037674911121244,0.7535885167464115,0.8930308914377845,0.15931400480220276
pytorch_mlp,Complex_protein_embeddings,standard,v2.10,0.4972488038277512,0.7744416965059228,0.9763157894736842,0.863544633474495,-0.006856649463813741,0.6322966507177034,0.8562714277877269,0.17975588464504313
pytorch_mlp,Complex_protein_embeddings,standard,v2.11,0.5095693779904307,0.7797449615268764,0.9736842105263157,0.8645995880308821,0.0207112727191808,0.5741626794258373,0.8350142714939727,0.19034359275318596
pytorch_mlp,Complex_sample_embeddings,none,v2.10,0.5004784688995215,0.7758928571428572,0.9736842105263157,0.8630285693795191,-0.005934588959445941,0.47631578947368414,0.7703343207851757,0.19467635176564146
