model,input,normalization,version,balanced_accuracy,precision,recall,f1,mcc,auroc,auprc,brier
random_forest,Complex_protein_embeddings,none,v2.11,0.9093406593406593,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8186813186813187,0.9945054945054945,0.9985754985754985,0.056821097616498575
random_forest,Complex_sample_embeddings,none,v2.11,0.5,0.7878787878787878,1.0,0.8813559322033898,0.0,0.4505494505494506,0.7560680778735667,0.18163538541510976
random_forest,concatenated_protein_embeddings,none,v2.11,0.9615384615384616,1.0,0.9230769230769231,0.96,0.8473185457363234,0.9945054945054945,0.9985754985754985,0.051818376496615776
random_forest,concatenated_sample_embeddings,none,v2.11,0.7087912087912087,0.88,0.8461538461538461,0.8627450980392157,0.39834823795432894,0.8626373626373627,0.961387434867101,0.12533035618490418
random_forest,gene_expression,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0730256248786219
random_forest,RGCN_protein_embeddings,none,v2.11,0.7664835164835164,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.6076759133770131,0.9725274725274725,0.9931722173101484,0.07743433052259571
random_forest,RGCN_sample_embeddings,none,v2.11,0.7994505494505495,0.92,0.8846153846153846,0.9019607843137255,0.5713152360134455,0.8296703296703297,0.9482213923872911,0.12478228182703507
sklearn_mlp,Complex_protein_embeddings,none,v2.11,0.5,0.7878787878787878,1.0,0.8813559322033898,0.0,0.9175824175824177,0.9805009490951135,0.23571039520410075
sklearn_mlp,Complex_sample_embeddings,none,v2.11,0.5137362637362637,0.7931034482758621,0.8846153846153846,0.8363636363636363,0.034411635632722946,0.6153846153846154,0.8404157704351067,0.19752905338009097
sklearn_mlp,concatenated_protein_embeddings,none,v2.11,0.5,0.7878787878787878,1.0,0.8813559322033898,0.0,0.5,0.7878787878787878,0.1672468642146824
sklearn_mlp,concatenated_sample_embeddings,none,v2.11,0.5714285714285714,0.8125,1.0,0.896551724137931,0.34069257193462343,0.4917582417582418,0.7871617871280959,0.17330071046397494
sklearn_mlp,gene_expression,none,,0.5,0.7878787878787878,1.0,0.8813559322033898,0.0,0.5,0.7878787878787878,0.22577312137624433
sklearn_mlp,RGCN_protein_embeddings,none,v2.11,0.5,0.0,0.0,0.0,0.0,0.5,0.7878787878787878,0.7878787878787878
