Source,Target,Relation,Type,Weight
Protein_ACIN1,Protein_RNPS1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_RNPS1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_BCAS2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_DDX17,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_UTP14A,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_SMC1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_SUPT16H,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_SRPK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACIN1,Protein_SRPK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_ACTB,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_DSTN,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_DSTN,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_ACTG1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_ACTG1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_ACTR3,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_ACTR3,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTB,Protein_RPL10A,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTG1,Protein_ACTG1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTG1,Protein_DSTN,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTG1,Protein_DSTN,hasPhysicalInteractionWith,Undirected,1.0
Protein_ACTG1,Protein_CTBP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ADRM1,Protein_PSMC6,hasPhysicalInteractionWith,Undirected,1.0
Protein_ADRM1,Protein_PSMC6,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATG3,Protein_GABARAPL2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATG3,Protein_GABARAPL2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATG3,Protein_BECN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATG3,Protein_BECN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATN1,Protein_TRIP6,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATN1,Protein_ATN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATN1,Protein_GAPDH,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATN1,Protein_RNF31,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATN1,Protein_SIAH1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_NUDT21,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_TRAF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_RNF31,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_ATXN1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_FYN,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_TRIP6,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_SMARCC2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_TDP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_YWHAE,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_YWHAE,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_SF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_ATXN1,Protein_SUMO1,hasPhysicalInteractionWith,Undirected,1.0
Protein_AURKB,Protein_AURKB,hasPhysicalInteractionWith,Undirected,1.0
Protein_AURKB,Protein_BARD1,hasPhysicalInteractionWith,Undirected,1.0
Protein_AURKB,Protein_BARD1,hasPhysicalInteractionWith,Undirected,1.0
Protein_AURKB,Protein_MARK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_AURKB,Protein_SNW1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_UBE2D1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_UBE2D1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_CSTF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_CSTF2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_BARD1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_AURKB,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_AURKB,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SMC1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_FEZ1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_UBE2D3,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_UBE2D3,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_UBE2W,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_DDX39B,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_CDK9,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_DYRK1A,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_HNRNPC,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_MOV10,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_YBX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_MAPK1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SRSF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SNRNP70,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SNRPC,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SRPK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SUPT5H,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_U2AF1,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_MTA2,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_STRAP,hasPhysicalInteractionWith,Undirected,1.0
Protein_BARD1,Protein_SRRM2,hasPhysicalInteractionWith,Undirected,1.0
