Id,Label,Type
Protein_NXF1,Gene_Protein_NXF1,Gene
Protein_MOV10,Gene_Protein_MOV10,Gene
Protein_MYC,Gene_Protein_MYC,Gene
Protein_GRB2,Gene_Protein_GRB2,Gene
Protein_TRAF2,Gene_Protein_TRAF2,Gene
Protein_ILF3,Gene_Protein_ILF3,Gene
Protein_SH3KBP1,Gene_Protein_SH3KBP1,Gene
Protein_PML,Gene_Protein_PML,Gene
Protein_BARD1,Gene_Protein_BARD1,Gene
Protein_SRSF1,Gene_Protein_SRSF1,Gene
Protein_SRRM2,Gene_Protein_SRRM2,Gene
Protein_TERF1,Gene_Protein_TERF1,Gene
Protein_PABPC1,Gene_Protein_PABPC1,Gene
Protein_UBE2D1,Gene_Protein_UBE2D1,Gene
Protein_SRPK2,Gene_Protein_SRPK2,Gene
Protein_YWHAE,Gene_Protein_YWHAE,Gene
Protein_SF1,Gene_Protein_SF1,Gene
Protein_SNW1,Gene_Protein_SNW1,Gene
Protein_YWHAQ,Gene_Protein_YWHAQ,Gene
Protein_SHC1,Gene_Protein_SHC1,Gene
Protein_CUL4A,Gene_Protein_CUL4A,Gene
Protein_SMAD4,Gene_Protein_SMAD4,Gene
Protein_MAPK1,Gene_Protein_MAPK1,Gene
Protein_RAD21,Gene_Protein_RAD21,Gene
Protein_CDC5L,Gene_Protein_CDC5L,Gene
Protein_UBE2D3,Gene_Protein_UBE2D3,Gene
Protein_NR3C1,Gene_Protein_NR3C1,Gene
Protein_MCM7,Gene_Protein_MCM7,Gene
Protein_RBBP4,Gene_Protein_RBBP4,Gene
Protein_CTNNB1,Gene_Protein_CTNNB1,Gene
Protein_ATXN1,Gene_Protein_ATXN1,Gene
Protein_CDK9,Gene_Protein_CDK9,Gene
Protein_SKP2,Gene_Protein_SKP2,Gene
Protein_RPA2,Gene_Protein_RPA2,Gene
Protein_RNPS1,Gene_Protein_RNPS1,Gene
Protein_DAXX,Gene_Protein_DAXX,Gene
Protein_CASP8,Gene_Protein_CASP8,Gene
Protein_SUMO1,Gene_Protein_SUMO1,Gene
Protein_RBM4,Gene_Protein_RBM4,Gene
Protein_CDC42,Gene_Protein_CDC42,Gene
Protein_SF3B1,Gene_Protein_SF3B1,Gene
Protein_HNRNPH1,Gene_Protein_HNRNPH1,Gene
Protein_ISG15,Gene_Protein_ISG15,Gene
Protein_HNRNPC,Gene_Protein_HNRNPC,Gene
Protein_HNRNPH2,Gene_Protein_HNRNPH2,Gene
Protein_ACTB,Gene_Protein_ACTB,Gene
Protein_RIPK1,Gene_Protein_RIPK1,Gene
Protein_FYN,Gene_Protein_FYN,Gene
Protein_HIF1A,Gene_Protein_HIF1A,Gene
Protein_MAX,Gene_Protein_MAX,Gene
Protein_EFTUD2,Gene_Protein_EFTUD2,Gene
Protein_SIAH1,Gene_Protein_SIAH1,Gene
Protein_PIK3R1,Gene_Protein_PIK3R1,Gene
Protein_YY1,Gene_Protein_YY1,Gene
Protein_RNF4,Gene_Protein_RNF4,Gene
Protein_SNIP1,Gene_Protein_SNIP1,Gene
Protein_SRSF3,Gene_Protein_SRSF3,Gene
Protein_DDX17,Gene_Protein_DDX17,Gene
Protein_GAPDH,Gene_Protein_GAPDH,Gene
Protein_ACTG1,Gene_Protein_ACTG1,Gene
Protein_IGSF8,Gene_Protein_IGSF8,Gene
Protein_IKBKB,Gene_Protein_IKBKB,Gene
Protein_SNRNP70,Gene_Protein_SNRNP70,Gene
Protein_CTNNBL1,Gene_Protein_CTNNBL1,Gene
Protein_EIF2AK2,Gene_Protein_EIF2AK2,Gene
Protein_IKBKE,Gene_Protein_IKBKE,Gene
Protein_RPS3A,Gene_Protein_RPS3A,Gene
Protein_SNRPC,Gene_Protein_SNRPC,Gene
Protein_MAPK6,Gene_Protein_MAPK6,Gene
Protein_CDKN1B,Gene_Protein_CDKN1B,Gene
Protein_STAT1,Gene_Protein_STAT1,Gene
Protein_CHD4,Gene_Protein_CHD4,Gene
Protein_CLTC,Gene_Protein_CLTC,Gene
Protein_SMARCA5,Gene_Protein_SMARCA5,Gene
Protein_TOPORS,Gene_Protein_TOPORS,Gene
Protein_MTA2,Gene_Protein_MTA2,Gene
Protein_TRIP6,Gene_Protein_TRIP6,Gene
Protein_MCM4,Gene_Protein_MCM4,Gene
Protein_YBX1,Gene_Protein_YBX1,Gene
Protein_MCM2,Gene_Protein_MCM2,Gene
Protein_MED28,Gene_Protein_MED28,Gene
Protein_STAMBP,Gene_Protein_STAMBP,Gene
Protein_AURKB,Gene_Protein_AURKB,Gene
Protein_PSMC6,Gene_Protein_PSMC6,Gene
Protein_CREB1,Gene_Protein_CREB1,Gene
Protein_SMC1A,Gene_Protein_SMC1A,Gene
Protein_HNRNPH3,Gene_Protein_HNRNPH3,Gene
